Sentences,Question,word5,word4,word6,word1,word3,Ans,word2,lenth,Type,ID,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,key_resp_12.keys,key_resp_12.rt,Atests1.keys,Atests1.rt,Atests2.keys,Atests2.rt,Atests3.keys,Atests3.rt,Atests4.keys,Atests4.rt,Atests5.keys,Atests5.rt,Atests6.keys,Atests6.rt,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,expName,participant,version,Grade,Gender,frameRate,session,date,
討好主播的發言人處理了糾紛,發言人擺平了糾紛？,處理了,發言人,糾紛,討好,的,f,主播,13,1,57,0,0,0,8,space,0.546061850531,space,1.07803156078,space,0.514409105868,space,0.391454876022,space,0.613319344215,space,0.684711995513,space,0.824601582543,j,0,8.47428473536,SPR,zhang,B,,female,59.1605795117,001,2016_04_28_1703,
每個人都應該要遵守交通規則,交通規則人人遵守?,交通,遵守,規則,每個人,要,f,都應該,13,3,63,0,1,1,22,space,0.359390826081,space,0.631080075058,space,0.616643733039,space,0.497441775828,space,0.509098846691,space,0.492828209382,space,0.805455360744,f,1,1.69409465075,SPR,zhang,B,,female,59.1605795117,001,2016_04_28_1703,
顧客熟悉的職工推薦了商品,職工推薦了商品？,推薦了,職工,商品,顧客,的,f,熟悉,12,2,25,0,2,2,0,space,0.393940075737,space,0.392548269163,space,0.375344497785,space,0.393795605742,space,0.463812634262,space,2.08558663107,space,0.525337511121,f,1,1.65761163465,SPR,zhang,B,,female,59.1605795117,001,2016_04_28_1703,
支持小林的研究員分析了案例,小林不懂分析案例？,分析了,研究員,案例,支持,的,j,小林,13,1,64,0,3,3,15,space,0.358943995372,space,0.493210699628,space,0.508306630065,space,0.358621503605,space,1.33334793823,space,0.545698307178,space,0.936199128599,j,1,2.01459344327,SPR,zhang,B,,female,59.1605795117,001,2016_04_28_1703,
捧紅大姑姑的明星拍攝了新片,大姑姑拍攝了新片？,拍攝了,明星,新片,捧紅,的,j,大姑姑,13,1,60,0,4,4,11,space,0.391769078531,space,0.665358147438,space,0.495514719754,space,0.427973417522,space,1.43350906569,space,0.906142264263,space,0.755506241025,j,1,2.4941675173,SPR,zhang,B,,female,59.1605795117,001,2016_04_28_1703,
小明昨天吃了一碗美味的小米粥,小明昨天沒吃小米粥?,的,美味,小米粥,小明,吃了一碗,j,昨天,12,3,58,0,5,5,17,space,0.373986637707,space,0.337127052284,space,0.49400765296,space,0.630601271499,space,0.5810831934,space,0.476493626353,space,0.9233085366,j,1,3.57270314416,SPR,zhang,B,,female,59.1605795117,001,2016_04_28_1703,
小吳批評的評論家說了粗話,評論家說了粗話？,說了,評論家,粗話,小吳,的,f,批評,12,2,29,0,6,6,4,space,0.342618096322,space,0.479952616995,space,0.546372500496,space,0.408148660419,space,1.96602784087,space,0.645917854199,space,0.515317766891,f,1,1.60284369057,SPR,zhang,B,,female,59.1605795117,001,2016_04_28_1703,
侮辱空服員的旅客拿出了凶器,空服員把凶器藏了起來？,拿出了,旅客,凶器,侮辱,的,j,空服員,13,1,58,0,7,7,9,space,0.375881720909,space,0.511950747576,space,0.718761521086,space,0.442650148143,space,0.513376895375,space,0.735481752177,space,1.14359567664,j,1,2.99242085136,SPR,zhang,B,,female,59.1605795117,001,2016_04_28_1703,
責罵小明的管理員掄起了拳頭,管理員握起了拳頭？,掄起了,管理員,拳頭,責罵,的,f,小明,13,1,59,0,8,8,10,space,0.399277571072,space,0.37478753832,space,0.618740126898,space,0.375910535971,space,1.02014961723,space,1.58659476324,space,0.524621082041,f,1,1.86212194057,SPR,zhang,B,,female,59.1605795117,001,2016_04_28_1703,
媽媽的拿手菜是糖醋排骨,媽媽會煮糖醋排骨?,糖醋,是,排骨,媽媽,拿手菜,f,的,11,3,59,0,9,9,18,space,0.342744803616,space,0.409261000445,space,0.42487204932,space,0.580801358497,space,0.492096780683,space,1.07700290282,space,0.736122393719,f,1,2.32709665043,SPR,zhang,B,,female,59.1605795117,001,2016_04_28_1703,
駕駛員碰見的盜賊撕了名畫,駕駛員毀壞了名畫？,撕了,盜賊,名畫,駕駛員,的,j,碰見,12,2,32,0,10,10,7,space,0.357559688608,space,0.509263053027,space,0.560055309114,space,0.629823265037,space,0.612585547162,space,1.19319546317,space,0.564383093384,j,1,2.77454825495,SPR,zhang,B,,female,59.1605795117,001,2016_04_28_1703,
撞見業務員的藝人衝進了現場,藝人闖進了現場？,衝進了,藝人,現場,撞見,的,f,業務員,13,1,63,0,11,11,14,space,0.391442244763,space,0.52577723674,space,0.548770860318,space,0.443317631107,space,0.0674982770142,space,1.10394063625,space,0.960195752901,f,1,2.56009320288,SPR,zhang,B,,female,59.1605795117,001,2016_04_28_1703,
責備治療師的婦女察覺了動靜,治療師察覺了動靜？,察覺了,婦女,動靜,責備,的,j,治療師,13,1,62,0,12,12,13,space,0.337549409924,space,0.579871776958,space,1.0040451599,space,0.374235710304,space,0.476248501029,space,0.56843654254,space,0.784612998032,j,1,3.0228921788,SPR,zhang,B,,female,59.1605795117,001,2016_04_28_1703,
犯人檢舉的同伴知道了敵情,犯人知道了敵情？,知道了,同伴,敵情,犯人,的,j,檢舉,12,2,26,0,13,13,1,space,0.338559515723,space,0.512909933612,space,0.580814779198,space,0.459253540103,space,1.71208827038,space,0.531095390463,space,1.18084840992,j,1,3.89792484244,SPR,zhang,B,,female,59.1605795117,001,2016_04_28_1703,
朋友們推薦了許多好聽的歌曲,朋友們推薦了歌曲?,的,好聽,歌曲,朋友們,許多,f,推薦了,13,3,57,0,14,14,16,space,0.359275171133,space,0.494068440887,space,1.17745533864,space,0.578533653221,space,0.563358382693,space,0.409343498337,space,0.750370845795,f,1,2.54279035509,SPR,zhang,B,,female,59.1605795117,001,2016_04_28_1703,
叔叔協助的警察破了大案件,警察偵破了大案件？,破了,警察,大案件,叔叔,的,f,協助,12,2,31,0,15,15,6,space,0.360466456514,space,0.475486283642,space,0.559971627044,space,0.493178332028,space,1.67398095364,space,0.425990704978,space,0.563020496586,f,1,2.23831628508,SPR,zhang,B,,female,59.1605795117,001,2016_04_28_1703,
熱鬧的夜市有很多美味的食物,夜市裡有很多美食?,的,美味,食物,熱鬧的,有很多,f,夜市,13,3,61,0,16,16,20,space,0.374772933428,space,0.357805603388,space,0.953527633632,space,1.85842729804,space,0.601006632198,space,0.408213790339,space,0.477101110839,f,1,1.81711401051,SPR,zhang,B,,female,59.1605795117,001,2016_04_28_1703,
上尉惹怒的服務員扔了盤子,盤子是上尉扔的？,扔了,服務員,盤子,上尉,的,j,惹怒,12,2,30,0,17,17,5,space,0.428864315829,space,0.0672195999214,space,1.09501231153,space,0.683988856072,space,0.748701546305,space,0.784774046559,space,0.630194702921,j,1,1.67591748316,SPR,zhang,B,,female,59.1605795117,001,2016_04_28_1703,
詆毀代理商的律師吃上了官司,律師碰上了官司？,吃上了,律師,官司,詆毀,的,f,代理商,13,1,61,0,18,18,12,space,0.817108879062,space,0.514332923602,space,0.529097678293,space,0.428404459148,space,0.596783845256,space,0.767715534632,space,1.80894356118,f,1,2.93567769454,SPR,zhang,B,,female,59.1605795117,001,2016_04_28_1703,
市民信任的委員爭到了選票,委員放棄了選票？,爭到了,委員,選票,市民,的,j,信任,12,2,28,0,19,19,3,space,0.338911611994,space,0.546171979295,space,0.630954551954,space,0.360300276545,space,0.596455037856,space,0.833779769302,space,0.734952423583,j,1,1.5911672781,SPR,zhang,B,,female,59.1605795117,001,2016_04_28_1703,
童年的回憶總是美好而快樂的,童年的回憶很痛苦?,而,美好,快樂的,童年的,總是,j,回憶,13,3,62,0,20,20,21,space,0.374720829495,space,0.465673376231,space,0.465249439687,space,0.460562454064,space,0.460320486556,space,0.459368010874,space,0.429465089976,j,1,1.60150438265,SPR,zhang,B,,female,59.1605795117,001,2016_04_28_1703,
我今天學會了一個新的技能,我今天沒學新技能?,新的,一個,技能,我,學會了,j,今天,12,3,60,0,21,21,19,space,0.563114441553,space,0.441612411472,space,0.442845932623,space,0.701277098975,space,0.564463222916,space,0.530836054968,space,0.679685150142,j,1,1.92677936906,SPR,zhang,B,,female,59.1605795117,001,2016_04_28_1703,
隔壁的大伯擅長修理各種電器,大伯不會修理電器?,各種,修理,電器,隔壁的,擅長,j,大伯,13,3,64,0,22,22,23,space,0.342510335926,space,0.476930588877,space,0.476191660375,space,0.545330421824,space,0.529661348119,space,0.547757596716,space,0.666466934919,j,1,1.59948259216,SPR,zhang,B,,female,59.1605795117,001,2016_04_28_1703,
孩子親近的阿姨迷失了方向,阿姨迷路了？,迷失了,阿姨,方向,孩子,的,f,親近,12,2,27,0,23,23,2,space,0.359168200186,space,0.429772582123,space,0.667966501904,space,0.808482915047,space,1.25188107041,space,0.595555060827,space,0.476728094043,f,1,1.4824007124,SPR,zhang,B,,female,59.1605795117,001,2016_04_28_1703,
桌子上擺滿了一大堆舊的文件,桌上沒有文件?,的,舊,文件,桌子上,一大堆,j,擺滿了,12,3,52,0,0,0,19,space,0.646629546565,space,1.29397196967,space,0.804712879697,space,0.784209982005,space,0.546860382776,space,0.409208501784,space,0.424510874327,j,1,1.03954451688,SPR,zhang,B,,female,59.1605795117,001,2016_04_28_1703,
上司嘲笑的會計偽造了帳目,會計偽造了帳目？,偽造了,會計,帳目,上司,的,f,嘲笑,12,2,23,0,1,1,6,space,0.354028462956,space,0.631018102962,space,0.634439199843,space,0.546557627342,space,1.30561877762,space,0.550745283603,space,1.02482357687,f,1,1.17653325691,SPR,zhang,B,,female,59.1605795117,001,2016_04_28_1703,
照顧小崔的飛行員擊落了敵機,飛行員打落了敵機？,擊落了,飛行員,敵機,照顧,的,f,小崔,13,1,49,0,2,2,8,space,0.42697357462,space,0.529624243798,space,0.509396865389,space,0.492718475347,space,1.16418028277,space,0.921646736919,space,2.03630736268,f,1,1.56915297162,SPR,zhang,B,,female,59.1605795117,001,2016_04_28_1703,
小郭取笑的廚師偷聽了對話,小郭表揚了廚師？,偷聽了,廚師,對話,小郭,的,j,取笑,12,2,22,0,3,3,5,space,0.357768104339,space,0.0667798743088,space,1.47112652651,space,0.37586119512,space,0.515324477245,space,0.478240687014,space,1.03670406308,j,1,2.06951533079,SPR,zhang,B,,female,59.1605795117,001,2016_04_28_1703,
表姐熟識的院士解釋了理論,表姐解釋了理論？,解釋了,院士,理論,表姐,的,j,熟識,12,2,24,0,4,4,7,space,0.376066058314,space,0.426972390436,space,1.31385475161,space,0.392746027268,space,0.68446173874,space,0.579780595071,space,0.854948965774,j,1,1.18599367332,SPR,zhang,B,,female,59.1605795117,001,2016_04_28_1703,
每週都有寫不完的作業和報告,每週都有作業?,作業和,的,報告,每週,寫不完,f,都有,13,3,53,0,5,5,20,space,0.391233434304,space,0.447680546051,space,0.481364159918,space,0.491665344329,space,0.360245804251,space,0.498726611455,space,0.425920048881,f,1,1.89446072034,SPR,zhang,B,,female,59.1605795117,001,2016_04_28_1703,
