Sub,Type,ID,Position,RT,ACC
1,1,1,6,0.45076573,1
2,2,1,6,0.41745316,1
3,1,1,6,0.300516539,1
4,2,1,6,0.400162943,1
5,1,1,6,2.200301334,1
6,2,1,6,0.616924779,1
7,1,1,6,,1
8,2,1,6,0.533980843,1
9,1,1,6,0.700227521,1
10,2,1,6,0.567159867,1
11,1,1,6,0.700476198,1
12,2,1,6,0.750292295,1
13,1,1,6,0.334962371,1
15,1,1,6,0.261340303,1
16,2,1,6,0.443489337,1
17,1,1,6,0.327078493,1
18,2,1,6,,1
19,1,1,6,0.733193521,1
20,2,1,6,0.647943493,1
21,1,1,6,0.44754868,1
22,2,1,6,0.483727666,1
23,1,1,6,0.650005191,1
24,2,1,6,,1
25,1,1,6,0.597202359,1
26,2,1,6,1.023771695,1
27,1,1,6,,1
28,2,1,6,0.533735456,1
29,1,1,6,0.36703366,1
30,2,1,6,,1
31,1,1,6,0.600440201,1
32,2,1,6,0.250452753,1
33,1,1,6,0.317075,1
34,2,1,6,0.283711378,1
35,1,1,6,0.517085816,1
36,2,1,6,0.317243944,1
37,1,1,6,0.417137841,1
38,2,1,6,0.650395834,1
39,1,1,6,0.683794587,1
40,2,1,6,0.500598803,1
41,1,1,6,0.56677027,1
42,2,1,6,0.250383676,1
43,1,1,6,0.517058185,1
44,2,1,6,0.417052579,1
45,1,1,6,0.416990644,1
46,2,1,6,0.167069492,1
1,1,2,6,0.517095616,1
2,2,2,6,,1
3,1,2,6,0.366917476,1
4,2,2,6,0.400243073,1
5,1,2,6,0.448721046,1
6,2,2,6,,1
7,1,2,6,,1
8,2,2,6,0.584891517,1
9,1,2,6,0.300509831,1
10,2,2,6,0.750554199,1
11,1,2,6,0.600485593,1
12,2,2,6,0.717019987,1
13,1,2,6,0.350436449,1
14,2,2,6,0.32695218,1
15,1,2,6,0.315336161,1
16,2,2,6,0.39487321,1
17,1,2,6,0.310351946,1
18,2,2,6,0.597182914,1
19,1,2,6,0.820915229,1
20,2,2,6,0.45037932,1
21,1,2,6,,1
22,2,2,6,0.380422911,1
23,1,2,6,0.410487461,1
24,2,2,6,0.60396337,1
25,1,2,6,0.533676963,1
26,2,2,6,0.600072473,1
27,1,2,6,0.617087868,1
28,2,2,6,0.35003521,1
29,1,2,6,0.600497833,1
30,2,2,6,0.733843375,1
31,1,2,6,0.350463885,1
32,2,2,6,0.233729693,1
33,1,2,6,0.367122604,1
34,2,2,6,0.433778008,1
35,1,2,6,0.467044922,1
36,2,2,6,0.417076658,1
37,1,2,6,0.56708171,1
38,2,2,6,0.333799244,1
39,1,2,6,1.850048236,1
40,2,2,6,0.88381606,1
41,1,2,6,0.500476832,1
42,2,2,6,0.21705479,1
43,1,2,6,0.365911183,1
44,2,2,6,0.584021871,1
45,1,2,6,0.284164621,1
46,2,2,6,0.200164683,1
1,1,3,6,0.667805059,1
2,2,3,6,,1
3,1,3,6,0.317205587,1
4,2,3,6,0.609955877,1
5,1,3,6,0.583699048,1
6,2,3,6,0.483676864,1
7,1,3,6,0.433475514,1
8,2,3,6,0.433968528,1
9,1,3,6,0.667062842,1
10,2,3,6,0.70045528,1
12,2,3,6,1.767121866,1
13,1,3,6,0.31716493,1
14,2,3,6,0.377237607,1
15,1,3,6,0.293691714,1
16,2,3,6,0.367432594,1
17,1,3,6,0.774385233,1
18,2,3,6,0.546454998,1
19,1,3,6,,1
20,2,3,6,0.793513251,1
21,1,3,6,0.4374269,1
22,2,3,6,0.777243088,1
23,1,3,6,0.56544203,1
24,2,3,6,0.724171048,1
25,1,3,6,0.540438763,1
26,2,3,6,1.1770593,1
27,1,3,6,0.400569119,1
28,2,3,6,0.316326595,1
29,1,3,6,0.400358731,1
30,2,3,6,1.059729106,1
31,1,3,6,0.200485674,1
32,2,3,6,0.25038565,1
33,1,3,6,0.40041557,1
34,2,3,6,0.350435859,1
35,1,3,6,0.733742325,1
36,2,3,6,0.250349335,1
37,1,3,6,,1
38,2,3,6,0.733886006,1
39,1,3,6,1.68365209,1
40,2,3,6,0.467102157,1
41,1,3,6,0.750401044,1
42,2,3,6,0.28375164,1
43,1,3,6,0.350425596,1
44,2,3,6,0.750380123,1
45,1,3,6,0.350552764,1
46,2,3,6,0.183238538,1
1,1,4,6,0.517247191,1
2,2,4,6,0.450933095,1
4,2,4,6,0.383684285,1
5,1,4,6,0.616908989,1
6,2,4,6,0.47616324,1
7,1,4,6,0.450208771,1
8,2,4,6,,1
9,1,4,6,0.567367494,1
10,2,4,6,,1
13,1,4,6,,1
16,2,4,6,0.476840986,1
17,1,4,6,0.256056885,1
18,2,4,6,0.521516951,1
21,1,4,6,0.44052596,1
24,2,4,6,0.534666957,1
25,1,4,6,0.847526338,1
27,1,4,6,0.500448017,1
28,2,4,6,0.267062132,1
29,1,4,6,0.367088922,1
32,2,4,6,0.300444701,1
33,1,4,6,0.383630932,1
35,1,4,6,,1
36,2,4,6,0.33362438,1
39,1,4,6,2.050443122,1
40,2,4,6,,1
41,1,4,6,0.567062763,1
42,2,4,6,0.133787245,1
43,1,4,6,0.383644748,1
44,2,4,6,0.550446675,1
45,1,4,6,0.433829552,1
46,2,4,6,0.217372271,1
1,1,5,6,0.567747744,1
2,2,5,6,,1
3,1,5,6,0.333869372,1
4,2,5,6,0.483654365,1
5,1,5,6,0.550428318,1
6,2,5,6,0.866904055,1
7,1,5,6,0.31680415,1
8,2,5,6,0.683899648,1
9,1,5,6,0.550584829,1
10,2,5,6,0.616924056,1
11,1,5,6,0.500562486,1
12,2,5,6,0.667242178,1
13,1,5,6,0.717081959,1
14,2,5,6,0.479967617,1
15,1,5,6,0.257453823,1
16,2,5,6,0.43304763,1
17,1,5,6,0.243840091,1
18,2,5,6,0.458360273,1
19,1,5,6,0.338353863,1
20,2,5,6,0.447236445,1
21,1,5,6,0.410430225,1
22,2,5,6,0.550621332,1
23,1,5,6,0.510463817,1
24,2,5,6,,1
25,1,5,6,0.744801841,1
26,2,5,6,0.627100727,1
27,1,5,6,0.500358808,1
28,2,5,6,0.316986581,1
29,1,5,6,0.467246104,1
30,2,5,6,0.590603571,1
31,1,5,6,0.217176761,1
32,2,5,6,0.250475648,1
33,1,5,6,0.467116367,1
34,2,5,6,0.333682405,1
36,2,5,6,0.283819533,1
37,1,5,6,0.450415807,1
38,2,5,6,0.33376964,1
39,1,5,6,0.883491988,1
40,2,5,6,0.967278996,1
41,1,5,6,0.633479751,1
42,2,5,6,0.333780692,1
43,1,5,6,0.333727009,1
44,2,5,6,0.817119604,1
45,1,5,6,0.350731973,1
46,2,5,6,0.183699981,1
1,1,6,6,0.417342242,1
2,2,6,6,0.467200179,1
3,1,6,6,0.283818018,1
4,2,6,6,0.76695608,1
5,1,6,6,0.867037078,1
6,2,6,6,0.717019592,1
7,1,6,6,0.400293598,1
8,2,6,6,,1
9,1,6,6,0.500555383,1
10,2,6,6,0.500663144,1
11,1,6,6,0.583853781,1
12,2,6,6,0.653539239,1
13,1,6,6,0.583733784,1
14,2,6,6,0.377957194,1
15,1,6,6,0.531499591,1
16,2,6,6,0.393403642,1
17,1,6,6,0.243533783,1
18,2,6,6,0.715585155,1
19,1,6,6,0.464220782,1
20,2,6,6,0.341159864,1
21,1,6,6,0.413564416,1
22,2,6,6,0.475746137,1
23,1,6,6,0.724400389,1
24,2,6,6,0.563764408,1
25,1,6,6,0.883244669,1
26,2,6,6,0.424730268,1
27,1,6,6,0.450442254,1
28,2,6,6,0.467080052,1
29,1,6,6,0.533465989,1
30,2,6,6,0.501134844,1
31,1,6,6,0.767400809,1
32,2,6,6,0.267096473,1
33,1,6,6,0.400595171,1
34,2,6,6,0.333690694,1
35,1,6,6,0.51700687,1
36,2,6,6,0.283806113,1
37,1,6,6,0.383726456,1
38,2,6,6,0.300451017,1
39,1,6,6,0.983863111,1
40,2,6,6,0.517063316,1
41,1,6,6,0.583792534,1
42,2,6,6,0.366974581,1
43,1,6,6,0.433734193,1
44,2,6,6,0.617118657,1
45,1,6,6,0.351204863,1
46,2,6,6,0.200039947,1
1,1,7,6,0.350866307,1
2,2,7,6,0.583954436,1
3,1,7,6,0.233968764,1
4,2,7,6,0.466848478,1
5,1,7,6,1.000306308,1
6,2,7,6,0.550288585,1
7,1,7,6,0.733559038,1
8,2,7,6,0.587490398,1
9,1,7,6,0.333808323,1
10,2,7,6,0.583881743,1
11,1,7,6,0.63400579,1
12,2,7,6,0.700289887,1
13,1,7,6,0.383531131,1
14,2,7,6,0.410325579,1
15,1,7,6,0.297152678,1
16,2,7,6,0.531494854,1
17,1,7,6,0.791092043,1
18,2,7,6,0.498105312,1
19,1,7,6,0.563785477,1
20,2,7,6,0.861053096,1
21,1,7,6,0.418837673,1
22,2,7,6,,1
23,1,7,6,0.493669447,1
24,2,7,6,0.511058682,1
25,1,7,6,1.01047033,1
26,2,7,6,0.543440718,1
28,2,7,6,0.383478962,1
29,1,7,6,0.417030147,1
30,2,7,6,0.459412455,1
31,1,7,6,0.48388719,1
32,2,7,6,0.28385348,1
33,1,7,6,0.56711842,1
34,2,7,6,0.400295967,1
35,1,7,6,0.5838999,1
36,2,7,6,0.300368518,1
37,1,7,6,0.600418096,1
38,2,7,6,0.333538329,1
39,1,7,6,1.850478095,1
40,2,7,6,0.500482358,1
41,1,7,6,0.433783929,1
42,2,7,6,0.317099078,1
43,1,7,6,0.500387623,1
44,2,7,6,0.850434675,1
45,1,7,6,0.333713066,1
46,2,7,6,0.233720922,1
1,1,8,6,0.300794427,1
2,2,8,6,0.500413674,1
3,1,8,6,0.267161338,1
4,2,8,6,0.500289335,1
5,1,8,6,0.483500421,1
6,2,8,6,0.725897392,1
7,1,8,6,0.516670101,1
8,2,8,6,,1
9,1,8,6,0.867189313,1
10,2,8,6,0.550764431,1
11,1,8,6,0.53404321,1
12,2,8,6,0.633676193,1
13,1,8,6,0.633841189,1
14,2,8,6,0.377336289,1
15,1,8,6,0.531900238,1
16,2,8,6,0.598335121,1
17,1,8,6,0.276768988,1
18,2,8,6,0.522487189,1
19,1,8,6,0.838581226,1
20,2,8,6,0.800068605,1
21,1,8,6,1.234531444,1
22,2,8,6,1.670602432,1
24,2,8,6,0.533755515,1
25,1,8,6,0.607118482,1
26,2,8,6,0.834636286,1
27,1,8,6,0.417029685,1
28,2,8,6,0.350548751,1
29,1,8,6,0.40040373,1
30,2,8,6,0.466991633,1
31,1,8,6,0.267094894,1
32,2,8,6,0.267103973,1
33,1,8,6,0.500380518,1
34,2,8,6,0.283692036,1
36,2,8,6,0.350511252,1
37,1,8,6,0.467116367,1
38,2,8,6,0.383728035,1
39,1,8,6,0.73373443,1
40,2,8,6,1.16710942,1
41,1,8,6,0.467049658,1
42,2,8,6,0.250400649,1
44,2,8,6,0.833810691,1
45,1,8,6,0.50052085,1
46,2,8,6,0.216749778,1
1,1,9,6,0.41758263,1
2,2,9,6,0.267091472,1
4,2,9,6,0.400233994,1
5,1,9,6,1.139441967,1
6,2,9,6,0.4670265,1
7,1,9,6,0.533507566,1
8,2,9,6,0.567018684,1
9,1,9,6,,1
10,2,9,6,0.533942294,1
11,1,9,6,0.634291572,1
12,2,9,6,0.707046425,1
13,1,9,6,0.750181377,1
14,2,9,6,0.415144798,1
15,1,9,6,,1
16,2,9,6,0.397591298,1
17,1,9,6,0.343588335,1
18,2,9,6,,1
19,1,9,6,0.365203572,1
20,2,9,6,0.640260777,1
21,1,9,6,0.913595403,1
22,2,9,6,0.430286944,1
23,1,9,6,0.550382517,1
24,2,9,6,0.387244316,1
25,1,9,6,,1
26,2,9,6,1.040288172,1
27,1,9,6,0.300462464,1
28,2,9,6,0.400466095,1
29,1,9,6,0.533729274,1
30,2,9,6,0.367861536,1
31,1,9,6,0.783895716,1
32,2,9,6,0.266777138,1
33,1,9,6,0.150536357,1
34,2,9,6,,1
35,1,9,6,0.416946003,1
36,2,9,6,0.316808558,1
37,1,9,6,0.383723299,1
38,2,9,6,0.483709957,1
39,1,9,6,0.650563593,1
40,2,9,6,0.683748798,1
41,1,9,6,0.583475172,1
42,2,9,6,0.367151814,1
43,1,9,6,0.283684142,1
44,2,9,6,0.833770824,1
45,1,9,6,0.433881262,1
46,2,9,6,0.183801822,1
1,1,10,6,0.417209613,1
2,2,10,6,0.417405398,1
3,1,10,6,0.300604564,1
4,2,10,6,0.417044618,1
5,1,10,6,0.366825505,1
6,2,10,6,0.433609326,1
7,1,10,6,0.366876424,1
8,2,10,6,0.433457751,1
9,1,10,6,0.350178101,1
10,2,10,6,0.650539515,1
11,1,10,6,0.467217942,1
12,2,10,6,0.466992158,1
13,1,10,6,0.317052828,1
14,2,10,6,0.365393831,1
16,2,10,6,0.377310632,1
17,1,10,6,0.321675473,1
18,2,10,6,0.459358537,1
19,1,10,6,0.446344791,1
20,2,10,6,0.633956079,1
21,1,10,6,0.371559939,1
22,2,10,6,1.150602621,1
23,1,10,6,0.7241971,1
24,2,10,6,0.717074118,1
25,1,10,6,0.686607333,1
26,2,10,6,1.091827064,1
27,1,10,6,0.250303151,1
28,2,10,6,0.450435543,1
29,1,10,6,,1
30,2,10,6,0.366818663,1
31,1,10,6,0.200422122,1
32,2,10,6,0.283715325,1
33,1,10,6,0.417258628,1
34,2,10,6,0.367080368,1
35,1,10,6,0.417125604,1
36,2,10,6,0.367094973,1
37,1,10,6,0.43378235,1
38,2,10,6,0.400406097,1
39,1,10,6,0.667132315,1
40,2,10,6,,1
41,1,10,6,0.650357545,1
42,2,10,6,0.36705629,1
43,1,10,6,0.350405465,1
44,2,10,6,1.434162079,1
45,1,10,6,0.383704007,1
46,2,10,6,0.200344681,1
1,1,11,6,0.651202456,1
2,2,11,6,0.333916345,1
4,2,11,6,0.583802466,1
5,1,11,6,0.483532789,1
6,2,11,6,0.450208771,1
7,1,11,6,0.43368393,1
8,2,11,6,0.733854294,1
9,1,11,6,,1
10,2,11,6,0.517182919,1
11,1,11,6,0.600525855,1
12,2,11,6,0.550294111,1
13,1,11,6,,1
14,2,11,6,0.343259133,1
15,1,11,6,0.360456588,1
16,2,11,6,0.410320447,1
17,1,11,6,1.047028536,1
18,2,11,6,,1
19,1,11,6,0.445734938,1
20,2,11,6,0.544709395,1
21,1,11,6,0.416763738,1
22,2,11,6,0.896696823,1
23,1,11,6,0.443692519,1
24,2,11,6,0.430318918,1
25,1,11,6,,1
26,2,11,6,0.623674433,1
27,1,11,6,0.200398044,1
28,2,11,6,0.783710194,1
29,1,11,6,0.367066423,1
30,2,11,6,0.374213899,1
31,1,11,6,,1
32,2,11,6,0.267056606,1
33,1,11,6,0.334030555,1
34,2,11,6,0.283705852,1
35,1,11,6,0.500462227,1
36,2,11,6,0.28370822,1
37,1,11,6,0.433727088,1
38,2,11,6,0.433594854,1
39,1,11,6,0.500449201,1
40,2,11,6,0.983723378,1
41,1,11,6,0.550464043,1
42,2,11,6,0.383651063,1
43,1,11,6,0.550355098,1
44,2,11,6,0.483692589,1
45,1,11,6,0.383824401,1
1,1,12,6,0.533987948,1
2,2,12,6,0.300465225,1
3,1,12,6,0.284054854,1
5,1,12,6,0.633577906,1
6,2,12,6,0.583809176,1
7,1,12,6,0.367001158,1
8,2,12,6,0.483672522,1
9,1,12,6,,1
10,2,12,6,0.51721805,1
12,2,12,6,0.58379694,1
14,2,12,6,0.326874025,1
15,1,12,6,0.238561016,1
16,2,12,6,0.634777481,1
17,1,12,6,0.279238004,1
18,2,12,6,0.461613217,1
19,1,12,6,0.447348581,1
20,2,12,6,0.583749416,1
21,1,12,6,0.427031175,1
22,2,12,6,0.610491882,1
23,1,12,6,0.667056533,1
24,2,12,6,0.547140958,1
25,1,12,6,0.424069088,1
26,2,12,6,0.870743826,1
27,1,12,6,0.467070579,1
30,2,12,6,0.417317442,1
32,2,12,6,0.267025817,1
34,2,12,6,,1
35,1,12,6,0.800443122,1
36,2,12,6,0.267039238,1
37,1,12,6,0.333774376,1
38,2,12,6,0.483826402,1
39,1,12,6,1.233738377,1
41,1,12,6,0.600472569,1
42,2,12,6,0.283716115,1
43,1,12,6,0.35036165,1
44,2,12,6,1.000442885,1
45,1,12,6,0.450494778,1
46,2,12,6,0.217066353,1
1,1,13,6,0.467340702,1
2,2,13,6,0.267481067,1
3,1,13,6,0.267267125,1
4,2,13,6,0.516874964,1
5,1,13,6,,1
6,2,13,6,0.383601392,1
7,1,13,6,0.366931686,1
8,2,13,6,0.483540289,1
9,1,13,6,0.783838086,1
10,2,13,6,0.433868006,1
11,1,13,6,,1
13,1,13,6,0.367159049,1
14,2,13,6,,1
15,1,13,6,0.376966035,1
16,2,13,6,0.416584366,1
17,1,13,6,0.360286856,1
18,2,13,6,0.493316486,1
19,1,13,6,1.230661349,1
20,2,13,6,0.548960684,1
21,1,13,6,0.95811947,1
22,2,13,6,0.60061168,1
23,1,13,6,0.624790741,1
24,2,13,6,0.487253434,1
25,1,13,6,0.690187969,1
26,2,13,6,0.587316236,1
27,1,13,6,0.150402149,1
28,2,13,6,0.366969055,1
29,1,13,6,0.483615552,1
30,2,13,6,0.467008212,1
31,1,13,6,0.300784562,1
32,2,13,6,0.233760877,1
33,1,13,6,,1
34,2,13,6,0.316972765,1
35,1,13,6,0.367404045,1
36,2,13,6,0.284723461,1
37,1,13,6,0.400329124,1
38,2,13,6,0.317234075,1
39,1,13,6,0.80015497,1
40,2,13,6,,1
41,1,13,6,0.683910637,1
42,2,13,6,0.233743903,1
43,1,13,6,0.317144077,1
44,2,13,6,0.617025501,1
45,1,13,6,0.423258606,1
46,2,13,6,0.283754099,1
1,1,14,6,0.667411911,1
2,2,14,6,0.334532908,1
3,1,14,6,0.300841005,1
4,2,14,6,0.767358702,1
5,1,14,6,0.756166224,1
6,2,14,6,1.167168364,1
8,2,14,6,0.718007593,1
9,1,14,6,0.683874322,1
10,2,14,6,0.550606145,1
11,1,14,6,0.733921792,1
12,2,14,6,0.567152496,1
13,1,14,6,0.517060486,1
14,2,14,6,0.358932943,1
15,1,14,6,0.858570584,1
16,2,14,6,0.451846098,1
17,1,14,6,0.359671082,1
18,2,14,6,0.800630615,1
19,1,14,6,0.376918273,1
20,2,14,6,0.827021859,1
21,1,14,6,0.673831754,1
22,2,14,6,0.410507593,1
23,1,14,6,0.980695119,1
24,2,14,6,,1
25,1,14,6,1.187347657,1
26,2,14,6,0.660650783,1
27,1,14,6,0.30033694,1
28,2,14,6,0.40032873,1
29,1,14,6,0.417048305,1
30,2,14,6,0.48353154,1
31,1,14,6,0.567446439,1
32,2,14,6,0.250494595,1
33,1,14,6,0.583800823,1
34,2,14,6,0.300287994,1
35,1,14,6,0.45045449,1
36,2,14,6,0.350480069,1
37,1,14,6,0.500554199,1
38,2,14,6,,1
39,1,14,6,0.417010343,1
40,2,14,6,0.867080763,1
41,1,14,6,0.500599198,1
42,2,14,6,0.200438701,1
43,1,14,6,,1
44,2,14,6,0.733749035,1
46,2,14,6,0.218189763,1
1,1,15,6,0.500725903,1
2,2,15,6,0.551016461,1
3,1,15,6,0.683880306,1
4,2,15,6,0.466949528,1
5,1,15,6,1.200323044,1
6,2,15,6,0.450254954,1
7,1,15,6,0.383639286,1
8,2,15,6,0.51739324,1
9,1,15,6,0.733845743,1
10,2,15,6,0.583887269,1
11,1,15,6,0.919128775,1
13,1,15,6,,1
14,2,15,6,0.361581165,1
15,1,15,6,0.343402418,1
16,2,15,6,0.343714253,1
17,1,15,6,0.276842012,1
18,2,15,6,0.629561561,1
19,1,15,6,0.497731505,1
20,2,15,6,0.863994657,1
21,1,15,6,0.603758503,1
22,2,15,6,0.490331573,1
23,1,15,6,0.537364966,1
24,2,15,6,0.400133183,1
25,1,15,6,,1
26,2,15,6,0.543888742,1
27,1,15,6,0.367042474,1
28,2,15,6,0.533751245,1
30,2,15,6,0.736701603,1
31,1,15,6,0.333769245,1
32,2,15,6,0.217077289,1
33,1,15,6,0.51681069,1
34,2,15,6,,1
35,1,15,6,0.467072158,1
36,2,15,6,0.367100105,1
37,1,15,6,0.417090079,1
38,2,15,6,0.517286732,1
39,1,15,6,0.517145419,1
40,2,15,6,0.817090394,1
41,1,15,6,0.967070579,1
42,2,15,6,0.233802323,1
43,1,15,6,0.383704746,1
44,2,15,6,0.967152682,1
45,1,15,6,,1
46,2,15,6,0.233745,1
2,2,16,6,0.300550486,1
3,1,16,6,0.317215061,1
4,2,16,6,0.631122311,1
5,1,16,6,0.450125878,1
6,2,16,6,0.550393582,1
7,1,16,6,0.416962514,1
8,2,16,6,,1
9,1,16,6,0.600523094,1
10,2,16,6,0.483809034,1
11,1,16,6,0.568841137,1
12,2,16,6,0.752687497,1
14,2,16,6,0.377166162,1
15,1,16,6,0.327001127,1
16,2,16,6,0.397705769,1
17,1,16,6,0.397673007,1
18,2,16,6,0.413358659,1
19,1,16,6,0.373882035,1
20,2,16,6,0.923739287,1
21,1,16,6,0.383601312,1
22,2,16,6,,1
23,1,16,6,0.473702992,1
24,2,16,6,0.563448621,1
25,1,16,6,0.801027809,1
26,2,16,6,,1
27,1,16,6,0.250339861,1
28,2,16,6,0.6504732,1
29,1,16,6,0.550578713,1
30,2,16,6,0.452821281,1
31,1,16,6,0.283910716,1
32,2,16,6,0.250386834,1
34,2,16,6,0.317285785,1
35,1,16,6,0.550412728,1
36,2,16,6,0.317131841,1
37,1,16,6,0.366986818,1
38,2,16,6,0.383789613,1
39,1,16,6,2.800360229,1
42,2,16,6,0.250439727,1
43,1,16,6,0.334322654,1
44,2,16,6,0.567056053,1
45,1,16,6,0.467278029,1
46,2,16,6,0.183692086,1
1,1,17,6,0.550593709,1
2,2,17,6,0.350904595,1
3,1,17,6,0.400779112,1
4,2,17,6,0.850272638,1
5,1,17,6,0.383786124,1
6,2,17,6,0.483752257,1
7,1,17,6,0.533487435,1
8,2,17,6,0.638189894,1
9,1,17,6,0.550529962,1
10,2,17,6,,1
11,1,17,6,,1
12,2,17,6,0.483710811,1
13,1,17,6,,1
