Sub,Type,ID,Position,RT,ACC
1,1,1,7,0.24237309,1
2,2,1,7,0.550385491,1
3,1,1,7,0.250511566,1
4,2,1,7,0.358569203,1
5,1,1,7,0.508547808,1
6,2,1,7,0.325409391,1
7,1,1,7,0.358520651,1
8,2,1,7,0.469818402,1
9,1,1,7,0.233740548,1
10,2,1,7,0.692181577,1
11,1,1,7,0.417185338,1
12,2,1,7,0.683684917,1
13,1,1,7,0.210577059,1
15,1,1,7,0.27397827,1
16,2,1,7,0.375845801,1
17,1,1,7,0.190684212,1
18,2,1,7,0.444544639,1
19,1,1,7,0.452937517,1
20,2,1,7,0.503801885,1
21,1,1,7,0.44538672,1
22,2,1,7,0.505967595,1
23,1,1,7,0.560307917,1
24,2,1,7,0.533812159,1
25,1,1,7,0.571991265,1
26,2,1,7,0.547099117,1
27,1,1,7,,1
28,2,1,7,0.467087355,1
29,1,1,7,0.383746129,1
30,2,1,7,0.525438859,1
31,1,1,7,0.233939097,1
32,2,1,7,0.250248087,1
33,1,1,7,0.425353914,1
34,2,1,7,0.27533919,1
35,1,1,7,0.45040436,1
36,2,1,7,0.27525906,1
37,1,1,7,0.416958042,1
38,2,1,7,0.425539041,1
39,1,1,7,0.692053093,1
40,2,1,7,0.383803824,1
41,1,1,7,0.433819652,1
42,2,1,7,0.175388452,1
43,1,1,7,0.517080882,1
44,2,1,7,0.558781561,1
45,1,1,7,0.392004449,1
46,2,1,7,0.267172162,1
1,1,2,7,0.292262606,1
2,2,2,7,0.534483331,1
3,1,2,7,0.317261441,1
4,2,2,7,0.341907786,1
5,1,2,7,0.417974002,1
6,2,2,7,0.308650477,1
7,1,2,7,0.691974968,1
8,2,2,7,0.493469838,1
9,1,2,7,0.242247733,1
10,2,2,7,0.58386773,1
11,1,2,7,0.650567736,1
12,2,2,7,0.717057683,1
13,1,2,7,0.133686062,1
14,2,2,7,0.357701001,1
15,1,2,7,0.342929733,1
16,2,2,7,0.423792274,1
17,1,2,7,0.224612754,1
18,2,2,7,0.411139703,1
19,1,2,7,0.955683237,1
20,2,2,7,0.417844522,1
21,1,2,7,0.874058213,1
22,2,2,7,0.358163246,1
23,1,2,7,0.447086248,1
24,2,2,7,0.495074702,1
25,1,2,7,0.500391774,1
26,2,2,7,0.595537962,1
27,1,2,7,0.475334809,1
28,2,2,7,0.425371874,1
29,1,2,7,0.499921252,1
30,2,2,7,0.400312546,1
31,1,2,7,0.267160617,1
32,2,2,7,0.258740272,1
33,1,2,7,0.300447859,1
34,2,2,7,0.275461161,1
35,1,2,7,0.434402074,1
36,2,2,7,0.342135315,1
37,1,2,7,0.425522857,1
38,2,2,7,0.317513741,1
39,1,2,7,0.683801495,1
40,2,2,7,0.500252429,1
41,1,2,7,0.558810573,1
42,2,2,7,0.158735851,1
43,1,2,7,0.467181695,1
44,2,2,7,0.791470158,1
45,1,2,7,0.367260819,1
46,2,2,7,0.2254489,1
1,1,3,7,0.375607978,1
2,2,3,7,0.600850123,1
3,1,3,7,0.266995751,1
4,2,3,7,0.375264763,1
5,1,3,7,0.683672285,1
6,2,3,7,0.267005816,1
7,1,3,7,0.633676785,1
8,2,3,7,0.608547098,1
9,1,3,7,0.375549857,1
10,2,3,7,0.641988121,1
12,2,3,7,1.192365156,1
13,1,3,7,0.183715903,1
14,2,3,7,0.396919079,1
15,1,3,7,0.257392246,1
16,2,3,7,0.379112363,1
17,1,3,7,0.241319169,1
18,2,3,7,0.417537434,1
19,1,3,7,0.69847,1
20,2,3,7,0.363873474,1
21,1,3,7,0.540449421,1
22,2,3,7,0.390410481,1
23,1,3,7,0.425334015,1
24,2,3,7,0.713595521,1
25,1,3,7,0.390565414,1
26,2,3,7,0.718171677,1
27,1,3,7,0.458757995,1
28,2,3,7,0.358799363,1
29,1,3,7,0.38376251,1
30,2,3,7,0.318743912,1
31,1,3,7,0.192345587,1
32,2,3,7,0.258557711,1
33,1,3,7,0.358787916,1
34,2,3,7,0.275604843,1
35,1,3,7,0.600180667,1
36,2,3,7,0.317136972,1
37,1,3,7,0.442101447,1
38,2,3,7,0.450395873,1
39,1,3,7,0.650353795,1
40,2,3,7,0.500409333,1
41,1,3,7,0.450578632,1
42,2,3,7,0.258776785,1
43,1,3,7,0.325248837,1
44,2,3,7,0.525486424,1
