Sentences,Question,word5,word4,word6,word1,word3,Ans,word2,lenth,Type,ID,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,key_resp_12.keys,key_resp_12.rt,Atests1.keys,Atests1.rt,Atests2.keys,Atests2.rt,Atests3.keys,Atests3.rt,Atests4.keys,Atests4.rt,Atests5.keys,Atests5.rt,Atests6.keys,Atests6.rt,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,expName,participant,version,Grade,Gender,frameRate,session,date,
外婆感激協助叔叔的警察,外婆感激警察？,的,叔叔,警察,外婆,協助,f,感激,11,1,31,0,0,0,6,space,1.82939630022,space,0.540944503366,space,0.724173229057,space,0.520606253624,space,0.663333944249,space,0.666036216579,space,0.609835321826,f,1,1.74775787111,SPR,19,A,,m,60.0603434729,001,2017_01_11_0905,
海關扣留空服員侮辱的旅客,海關扣留空服員？,的,侮辱,旅客,海關,空服員,j,扣留,12,2,58,0,1,1,9,space,0.883405992834,space,0.743716480734,space,0.744770168647,space,0.671458788398,space,0.844518990118,space,0.767152098211,space,1.06038379839,j,1,2.37349135147,SPR,19,A,,m,60.0603434729,001,2017_01_11_0905,
上司懲罰小明責罵的管理員,上司懲罰管理員？,的,責罵,管理員,上司,小明,f,懲罰,12,2,59,0,2,2,10,space,0.467166519949,space,0.645891157976,space,0.704164876464,space,0.611333078945,space,0.694528754837,space,0.650430699061,space,1.14072877827,f,1,1.20745904077,SPR,19,A,,m,60.0603434729,001,2017_01_11_0905,
朋友毆打碰見駕駛員的盜賊,朋友幫助盜賊？,的,駕駛員,盜賊,朋友,碰見,j,毆打,12,1,32,0,3,3,7,space,0.717274833172,space,0.678861644497,space,0.74182422911,space,0.594558499659,space,0.624207781126,space,0.700454284612,space,1.51025445347,j,1,1.21917669928,SPR,19,A,,m,60.0603434729,001,2017_01_11_0905,
弟弟花光了所有的零花錢,弟弟還有零花錢？,的,所有,零花錢,弟弟,光了,j,花,11,3,30,0,4,4,21,space,0.567186950728,space,0.712120565695,space,0.748426979459,space,0.731893663753,space,0.729464803459,space,0.633900988789,space,0.702118192115,j,1,1.40678752881,SPR,19,A,,m,60.0603434729,001,2017_01_11_0905,
法官偏袒代理商詆毀的律師,代理商詆毀律師？,的,詆毀,律師,法官,代理商,f,偏袒,12,2,61,0,5,5,12,space,0.48386358242,space,0.790700085025,space,0.659451192943,space,0.607230997113,space,0.693919436591,space,0.717282044039,space,1.14031535524,f,1,3.73720687076,SPR,19,A,,m,60.0603434729,001,2017_01_11_0905,
導演無視業務員撞見的藝人,業務員撞見藝人？,的,撞見,藝人,導演,業務員,f,無視,12,2,63,0,6,6,14,space,0.483920067541,space,0.627365239416,space,0.710224708637,space,0.573588097264,space,0.627081912447,space,0.767155703645,space,1.04804630578,f,1,1.89901661804,SPR,19,A,,m,60.0603434729,001,2017_01_11_0905,
警衛攔住治療師責備的婦女,治療師沒責備婦女？,的,責備,婦女,警衛,治療師,j,攔住,12,2,62,0,7,7,13,space,0.550042514064,space,0.677892984728,space,0.574422454643,space,0.556420525732,space,0.814011014598,space,0.833812355217,space,1.22740369738,j,1,2.43431020548,SPR,19,A,,m,60.0603434729,001,2017_01_11_0905,
聖誕節是個令人快樂的節日,聖誕節讓人快樂？,的,快樂,節日,聖誕節,令人,f,是個,12,3,25,0,8,8,16,space,0.450659944538,space,0.694512530383,space,0.562924727565,space,0.693786035561,space,0.66051509625,space,0.633825575147,space,0.747189714901,f,1,1.86108385336,SPR,19,A,,m,60.0603434729,001,2017_01_11_0905,
小明認識大姑姑捧紅的明星,小明認識大姑姑？,的,捧紅,明星,小明,大姑姑,j,認識,12,2,60,0,9,9,11,space,0.467174331716,space,0.533802740727,space,0.677980716937,space,0.728885230041,space,0.844979584232,space,0.683922771612,space,0.995754902637,j,1,2.04003803732,SPR,19,A,,m,60.0603434729,001,2017_01_11_0905,
大叔喜歡親近孩子的阿姨,大叔喜歡阿姨？,的,孩子,阿姨,大叔,親近,f,喜歡,11,1,27,0,10,10,2,space,1.41655615012,space,0.697617709891,space,0.735501801217,space,0.643636860754,space,0.761858420643,space,0.716403219652,space,0.626478302802,f,1,1.1247660224,SPR,19,A,,m,60.0603434729,001,2017_01_11_0905,
教授排斥小林支持的研究員,小林不支持研究員？,的,支持,研究員,教授,小林,j,排斥,12,2,64,0,11,11,15,space,0.617238478386,space,0.661604538036,space,0.674897770943,space,1.06065420589,space,0.910598471892,space,0.750420483673,space,1.25731827864,j,1,2.15308610076,SPR,19,A,,m,60.0603434729,001,2017_01_11_0905,
政府豁免檢舉犯人的同伴,同伴豁免政府？,的,犯人,同伴,政府,檢舉,j,豁免,11,1,26,0,12,12,1,space,0.533863732649,space,0.670916771574,space,0.725590464826,space,0.825757516577,space,0.843352031516,space,0.867073980487,space,1.01295402171,j,1,2.64010804282,SPR,19,A,,m,60.0603434729,001,2017_01_11_0905,
他一邊寫作業一邊看著電視,他沒在看電視？,看著,一邊,電視,他,寫作業,j,一邊,12,3,26,0,13,13,17,space,0.583881309132,space,0.529775772084,space,0.641087518889,space,0.673774978888,space,0.681074479238,space,0.66236798856,space,0.709028606114,j,1,1.11674934126,SPR,19,A,,m,60.0603434729,001,2017_01_11_0905,
