Sub,Type,ID,Position,RT,ACC
1,1,1,4,0.716948198,1
1,1,2,4,0.367095493,1
1,1,3,4,0.367074177,1
1,1,4,4,,1
1,1,5,4,0.433761791,1
1,1,6,4,0.450436557,1
1,1,8,4,0.350544674,1
1,1,10,4,,1
1,1,11,4,0.5173843,1
1,1,12,4,0.30034709,1
1,1,13,4,0.367068651,1
1,1,14,4,0.883808745,1
1,1,15,4,0.367146019,1
1,1,16,4,0.400446208,1
1,1,17,4,0.467095138,1
1,1,18,4,0.383784074,1
1,1,19,4,0.467289347,1
1,1,20,4,0.500402432,1
1,1,21,4,0.417245709,1
1,1,22,4,0.333780304,1
1,1,23,4,0.450123137,1
1,1,24,4,0.400446208,1
1,1,26,4,0.417226762,1
1,1,27,4,0.300441826,1
1,1,28,4,0.383824732,1
1,1,29,4,0.267099006,1
1,1,30,4,0.483747403,1
1,1,31,4,0.717110039,1
1,1,32,4,0.284014165,1
1,2,33,4,0.350176782,1
1,2,34,4,0.317085013,1
1,2,35,4,0.60038234,1
1,2,36,4,0.433735344,1
1,2,37,4,0.367050099,1
1,2,38,4,0.36695102,1
1,2,39,4,0.383894205,1
1,2,40,4,0.350144414,1
1,2,41,4,0.316810672,1
1,2,42,4,0.450413662,1
1,2,43,4,0.317085802,1
1,2,44,4,0.550353307,1
1,2,45,4,0.317083039,1
1,2,46,4,0.333679647,1
1,2,47,4,0.383751311,1
1,2,48,4,0.317101986,1
1,2,49,4,0.267027164,1
1,2,50,4,0.450341031,1
1,2,51,4,0.500413879,1
1,2,52,4,0.350382438,1
1,2,53,4,0.333770436,1
1,2,54,4,0.267252558,1
1,2,55,4,0.350477569,1
1,2,56,4,0.700685535,1
1,2,57,4,0.367044572,1
1,2,58,4,0.483721351,1
1,2,59,4,0.233796844,1
1,2,60,4,0.283830218,1
1,2,61,4,0.300367616,1
1,2,62,4,0.283734693,1
1,2,63,4,0.583768364,1
1,2,64,4,0.500526773,1
2,1,44,4,0.567303202,1
2,2,9,4,0.734952429,1
2,2,14,4,0.417056237,1
2,2,12,4,0.467101848,1
2,1,41,4,0.400416208,1
2,2,13,4,,1
2,1,42,4,0.533726699,1
2,2,10,4,,1
2,1,43,4,,1
2,1,46,4,0.683692219,1
2,1,48,4,0.700605009,1
2,2,15,4,0.533507622,1
2,2,16,4,0.367116414,1
2,2,11,4,0.467037112,1
2,2,4,4,0.317132776,1
2,1,35,4,0.401344229,1
2,1,40,4,,1
2,1,34,4,0.36711523,1
2,2,3,4,0.250406083,1
2,1,39,4,0.300453668,1
2,1,38,4,0.483830692,1
2,2,5,4,0.467119217,1
2,2,1,4,0.533687226,1
2,1,36,4,0.467051717,1
2,1,33,4,0.583838626,1
2,2,8,4,0.833859843,1
2,2,6,4,0.317069223,1
2,2,2,4,,1
2,1,37,4,0.783427392,1
2,2,7,4,0.567058467,1
2,1,60,4,0.867127269,1
2,2,31,4,0.350381254,1
2,2,25,4,0.300447352,1
2,2,29,4,0.500388221,1
2,1,57,4,0.767124072,1
2,2,27,4,0.283696009,1
2,1,58,4,0.633742923,1
2,2,26,4,0.517166012,1
2,1,59,4,0.250502398,1
2,1,64,4,0.586271374,1
2,2,28,4,0.533576306,1
2,2,32,4,0.63373266,1
2,1,54,4,,1
2,1,50,4,0.300411037,1
2,1,51,4,0.817107315,1
2,2,24,4,0.733679015,1
2,2,22,4,0.533816699,1
2,1,52,4,0.616987632,1
2,2,18,4,0.45040853,1
2,2,21,4,0.417084263,1
2,2,19,4,0.467045796,1
2,2,20,4,0.383978283,1
2,2,23,4,,1
2,2,17,4,0.550443306,1
2,1,49,4,0.517083908,1
2,1,56,4,0.71711596,1
2,1,53,4,,1
3,2,38,4,0.800397024,1
3,2,40,4,0.250404504,1
3,1,2,4,0.500702825,1
3,2,36,4,0.666771929,1
3,1,6,4,0.467000796,1
3,1,5,4,0.350468491,1
3,1,8,4,0.333814646,1
3,2,35,4,0.400415813,1
3,1,3,4,,1
3,1,4,4,0.933698831,1
3,1,1,4,0.417406761,1
3,2,33,4,0.433731791,1
3,2,37,4,0.333445964,1
3,1,10,4,0.300417747,1
3,2,48,4,0.267015717,1
3,2,43,4,0.583749416,1
3,2,46,4,0.433697449,1
3,2,42,4,0.33378662,1
3,1,16,4,0.300352616,1
3,1,11,4,0.317081855,1
3,1,15,4,0.317041987,1
3,1,12,4,0.33374991,1
3,1,13,4,0.333738462,1
3,2,41,4,0.467048164,1
3,1,14,4,0.350405333,1
3,1,9,4,0.567028467,1
3,2,44,4,0.883790587,1
3,2,45,4,0.333753068,1
3,2,56,4,0.267140453,1
3,1,18,4,0.317164354,1
3,1,23,4,0.35037336,1
3,2,54,4,0.433796923,1
3,2,55,4,0.267021638,1
3,2,51,4,0.350392702,1
3,2,53,4,0.28367114,1
3,2,50,4,,1
3,2,52,4,,1
3,1,17,4,0.367182335,1
3,1,20,4,0.283668772,1
3,1,19,4,,1
3,1,21,4,0.316808304,1
3,1,22,4,0.683694193,1
3,1,24,4,0.850327373,1
3,1,31,4,0.450438925,1
3,1,26,4,,1
3,1,25,4,0.317031329,1
3,1,28,4,0.267031507,1
3,2,62,4,,1
3,2,57,4,0.600391813,1
3,2,64,4,0.317127249,1
3,2,61,4,0.733594937,1
3,2,59,4,0.317064881,1
3,2,60,4,0.333762146,1
3,1,32,4,0.250695029,1
3,2,58,4,0.233719476,1
3,1,30,4,0.283682982,1
3,1,27,4,0.300389327,1
3,1,29,4,0.517010882,1
4,1,60,4,0.750366807,1
4,2,31,4,0.533797357,1
4,1,58,4,0.633672265,1
4,1,62,4,0.56712873,1
4,1,57,4,,1
4,2,27,4,0.567087282,1
4,2,25,4,0.817093894,1
4,2,32,4,0.566978731,1
4,2,29,4,0.617108026,1
4,2,30,4,0.650536503,1
4,2,26,4,0.517201933,1
4,2,28,4,0.350500069,1
4,1,59,4,1.183876363,1
4,1,64,4,0.517114697,1
4,1,53,4,0.433977711,1
4,1,49,4,0.550554622,1
4,1,56,4,0.467133822,1
4,2,17,4,0.43377087,1
4,2,20,4,0.36684681,1
4,2,18,4,0.55043028,1
4,1,51,4,0.500344406,1
4,1,55,4,0.317121723,1
4,2,19,4,0.36707023,1
4,1,50,4,0.850473819,1
4,2,24,4,0.333806357,1
4,2,21,4,0.283730351,1
4,2,22,4,0.500405195,1
4,2,23,4,1.250461346,1
4,1,52,4,0.517134828,1
4,1,54,4,0.383795127,1
4,2,16,4,0.500393353,1
4,2,13,4,0.516796541,1
4,2,11,4,0.334499905,1
4,2,12,4,0.367042599,1
4,2,10,4,0.383791969,1
4,1,41,4,0.567264518,1
4,1,48,4,0.383738285,1
4,2,9,4,0.433732976,1
4,1,43,4,0.517329038,1
4,1,47,4,0.600222472,1
4,2,15,4,0.466978296,1
4,1,44,4,0.533795778,1
4,1,42,4,0.250384767,1
4,2,14,4,0.283789956,1
4,1,39,4,0.283642325,1
4,2,5,4,0.700291196,1
4,2,4,4,0.233852896,1
4,1,38,4,0.300039987,1
4,2,7,4,0.65026611,1
4,1,36,4,0.250153453,1
4,1,33,4,0.350606253,1
4,2,2,4,0.400394498,1
4,1,40,4,0.217060105,1
4,1,34,4,0.400135157,1
4,1,35,4,0.300628536,1
4,2,1,4,0.233770791,1
4,1,37,4,0.300474194,1
4,2,6,4,0.400471076,1
4,2,3,4,0.4671654,1
5,1,24,4,1.517173907,1
5,1,22,4,1.450026427,1
5,2,54,4,1.316710805,1
5,1,21,4,2.000604733,1
5,2,55,4,1.23352053,1
5,1,23,4,1.91709275,1
5,2,56,4,0.883767298,1
5,1,17,4,0.833526293,1
5,2,50,4,1.08374014,1
5,2,49,4,3.283747324,1
5,2,51,4,1.383812495,1
5,2,52,4,1.483619114,1
5,1,20,4,1.017094368,1
5,1,18,4,1.483671614,1
5,2,53,4,0.783724627,1
5,2,59,4,1.783720285,1
5,1,30,4,1.167046862,1
5,1,27,4,0.883819403,1
5,2,58,4,2.200444945,1
5,1,31,4,0.700450274,1
5,1,28,4,1.267156243,1
5,2,61,4,0.900549036,1
5,2,63,4,0.750422464,1
5,1,29,4,0.750426017,1
5,2,57,4,2.366727206,1
5,2,64,4,1.867079111,1
5,1,25,4,0.967147045,1
5,2,62,4,0.466755271,1
5,1,26,4,0.783876205,1
5,1,12,4,1.000527365,1
5,2,44,4,0.583809811,1
5,2,43,4,0.550454359,1
5,2,48,4,0.833714581,1
5,1,16,4,0.717075697,1
5,2,45,4,0.883910586,1
5,2,42,4,1.53371762,1
5,2,47,4,1.267039006,1
5,2,46,4,0.68366143,1
5,2,41,4,0.73381283,1
5,1,10,4,1.383809732,1
5,1,11,4,0.516928777,1
5,1,13,4,2.200475734,1
5,1,14,4,1.400408313,1
5,1,15,4,1.383750916,1
5,1,9,4,1.917162618,1
5,1,4,4,1.183792284,1
5,2,37,4,0.533678542,1
5,2,33,4,0.650124006,1
5,1,8,4,1.283696798,1
5,2,34,4,0.667088111,1
5,1,1,4,2.283795087,1
5,1,5,4,0.817072973,1
5,2,39,4,0.567106624,1
5,2,38,4,2.000431445,1
5,2,40,4,1.083770929,1
5,1,6,4,1.517051934,1
5,1,7,4,1.100477273,1
5,2,35,4,0.483760035,1
5,1,2,4,1.933888698,1
5,1,3,4,0.883825324,1
5,2,36,4,1.91723288,1
6,1,46,4,2.100530957,1
6,2,15,4,2.767028941,1
6,1,41,4,,1
6,2,12,4,1.866871086,1
6,1,43,4,3.633604371,1
6,1,44,4,3.750579174,1
6,2,11,4,2.267290847,1
6,2,9,4,0.5003673,1
6,1,48,4,0.66700798,1
6,2,16,4,,1
6,2,14,4,0.750439043,1
6,2,10,4,2.01712121,1
6,2,13,4,1.200420471,1
6,1,36,4,2.783450287,1
6,2,7,4,0.367116414,1
6,1,34,4,0.400416997,1
6,2,6,4,3.20050376,1
6,2,4,4,2.16710923,1
6,1,40,4,2.217051816,1
6,2,5,4,0.617061447,1
6,1,35,4,1.369248374,1
6,2,8,4,0.967193229,1
6,1,38,4,1.317084618,1
6,1,33,4,3.300501826,1
6,1,37,4,,1
6,2,2,4,0.91712117,1
6,1,39,4,0.767248808,1
6,2,1,4,1.433768502,1
6,1,52,4,3.15043407,1
6,1,55,4,0.217086947,1
6,1,50,4,2.71703425,1
6,2,20,4,2.950503859,1
6,2,22,4,2.750484043,1
6,2,19,4,0.4502909,1
6,2,24,4,2.317172249,1
6,1,56,4,2.333795304,1
6,2,18,4,2.683969718,1
6,2,17,4,0.483860692,1
6,1,49,4,0.734636641,1
6,2,23,4,0.683816955,1
6,1,51,4,,1
6,2,21,4,1.367067072,1
6,1,54,4,0.600593917,1
6,1,53,4,1.100366748,1
6,1,57,4,3.21727563,1
6,1,61,4,2.217341156,1
6,2,31,4,2.367542332,1
6,2,29,4,0.883787429,1
6,2,27,4,0.367125493,1
6,2,25,4,,1
6,1,64,4,0.950446228,1
6,2,30,4,0.900430221,1
6,1,62,4,0.867188058,1
6,1,58,4,0.733832962,1
6,2,28,4,1.183482813,1
6,1,63,4,0.567057677,1
6,2,26,4,1.283808113,1
6,2,32,4,2.917067487,1
6,1,60,4,3.650442951,1
6,1,59,4,1.218066678,1
7,2,53,4,0.933780936,1
7,2,56,4,0.567166624,1
7,1,17,4,1.733525069,1
7,1,24,4,0.933852777,1
7,2,55,4,0.717094644,1
7,2,49,4,1.116775067,1
7,2,52,4,0.433747581,1
7,1,19,4,1.050493635,1
7,2,51,4,0.500370458,1
7,1,20,4,0.500121381,1
7,2,50,4,0.583891521,1
7,1,23,4,0.367056414,1
7,1,18,4,1.950528332,1
7,1,21,4,0.467013428,1
7,2,54,4,0.35035086,1
7,1,22,4,0.433702186,1
7,1,4,4,1.167085546,1
7,2,38,4,1.017035158,1
7,1,6,4,0.433746791,1
7,1,3,4,0.417125315,1
7,2,39,4,0.400495944,1
7,2,35,4,1.117067171,1
7,1,5,4,0.900374563,1
7,1,1,4,,1
7,2,34,4,1.933801857,1
7,2,37,4,0.383805784,1
7,2,40,4,1.883959139,1
7,1,8,4,,1
7,2,36,4,2.166926468,1
7,1,2,4,,1
7,2,33,4,,1
