Type,ID,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,key_resp_12.keys,key_resp_12.rt,Atests1.keys,Atests1.rt,Atests2.keys,Atests2.rt,Atests3.keys,Atests3.rt,Atests4.keys,Atests4.rt,Atests5.keys,Atests5.rt,Atests6.keys,Atests6.rt,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,expName,participant,version,Gender,frameRate
1,63,0,0,0,5,space,0.683981625,space,0.500560122,space,0.483826338,space,0.433792746,space,0.833776483,space,0.417091725,space,1.46717821,f,1,1.967182947,SPR,14,A,M,60.01587234
3,55,0,1,1,10,space,0.533789273,space,0.483470291,space,0.600624936,space,0.583845364,space,0.633780273,space,0.450736132,space,0.550549503,f,1,0.750391375,SPR,14,A,M,60.01587234
3,40,0,2,2,7,space,0.467181368,space,0.417081857,space,0.400500833,space,0.550125958,space,0.400441229,space,0.384101386,space,0.417164355,j,1,1.15046511,SPR,14,A,M,60.01587234
1,62,0,3,3,4,space,0.450499689,space,0.417161592,space,0.483766339,space,0.500384467,space,1.233802851,space,0.55061345,space,1.367206552,j,1,2.783963941,SPR,14,A,M,60.01587234
2,30,0,4,4,1,space,0.667229288,space,0.533865456,space,0.517156934,space,1.13393777,space,1.100457571,space,0.483840943,space,0.666958898,j,1,1.683490186,SPR,14,A,M,60.01587234
3,60,0,5,5,11,space,0.566821848,space,0.450546661,space,0.584017071,space,0.717106567,space,0.533701248,space,0.500349731,space,0.583771155,j,1,1.234106399,SPR,14,A,M,60.01587234
3,16,0,6,6,8,space,0.51714904,space,0.483723708,space,0.517067725,space,0.767153579,space,0.784057886,space,0.633440016,space,0.55053253,j,1,1.017036147,SPR,14,A,M,60.01587234
2,26,0,7,7,0,space,0.617276222,space,0.617043726,space,0.983820022,space,0.9504539,space,0.750417427,space,0.500549069,space,1.083804312,j,1,1.866721824,SPR,14,A,M,60.01587234
3,20,0,8,8,9,space,0.550563319,space,0.467105975,space,0.48379318,space,0.50038723,space,0.550470558,space,0.600572832,space,0.583903784,j,1,1.283615394,SPR,14,A,M,60.01587234
3,39,0,9,9,6,space,0.583771155,space,0.517192855,space,0.650180115,space,0.766868979,space,0.617165303,space,0.750505452,space,0.734299422,f,1,0.70041344,SPR,14,A,M,60.01587234
1,57,0,10,10,3,space,0.56720671,space,0.550424769,space,0.600547175,space,0.683954783,space,1.200691725,space,0.583768786,space,0.966804006,f,1,3.200307258,SPR,14,A,M,60.01587234
