Type,ID,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,key_resp_12.keys,key_resp_12.rt,Atests1.keys,Atests1.rt,Atests2.keys,Atests2.rt,Atests3.keys,Atests3.rt,Atests4.keys,Atests4.rt,Atests5.keys,Atests5.rt,Atests6.keys,Atests6.rt,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,expName,participant,version,Gender,frameRate
3,65,0,0,0,11,space,1.834005822,space,0.600424808,space,0.817396378,space,0.683830443,space,0.450434953,space,0.4337588,space,0.450481531,f,1,1.183839522,SPR,4,B,M,59.8938479
1,33,0,1,1,4,space,0.600618226,space,0.617372141,space,1.033790062,space,0.70043515,space,0.533790852,space,1.650703922,space,1.1838561,f,1,5.650261035,SPR,4,B,M,59.8938479
3,33,0,2,2,8,space,0.61724267,space,0.667329155,space,0.583677604,space,0.583700498,space,0.417074357,space,0.467158869,space,0.533825193,f,1,1.100471386,SPR,4,B,M,59.8938479
1,25,0,3,3,2,space,0.450582977,space,1.01758048,space,1.000544727,space,1.21718946,space,0.800456939,space,1.11719846,space,1.033944402,f,1,5.067282498,SPR,4,B,M,59.8938479
3,35,0,4,4,9,space,0.333790299,space,0.50045236,space,0.633781852,space,0.433818009,space,0.350453821,space,0.383780865,space,0.350524478,f,1,0.88378047,SPR,4,B,M,59.8938479
3,63,0,5,5,10,space,0.450198904,space,0.600502175,space,0.717151566,space,0.683917678,space,0.600572043,space,0.433446568,space,0.300488123,f,1,0.700464755,SPR,4,B,M,59.8938479
2,34,0,6,6,1,space,0.283883021,space,0.73371759,space,0.917163566,space,0.800439571,space,0.983750155,space,0.750535056,space,0.784014071,j,1,2.08393852,SPR,4,B,M,59.8938479
1,17,0,7,7,0,space,0.350539477,space,0.450560477,space,0.467177421,space,0.583760497,space,0.533791246,space,2.467214131,space,0.767173316,f,1,3.217288932,SPR,4,B,M,59.8938479
3,15,0,8,8,7,space,0.417276064,space,0.53393177,space,0.550180036,space,0.600344678,space,0.55040148,space,0.683802417,space,0.467073607,f,1,1.483766339,SPR,4,B,M,59.8938479
2,54,0,9,9,5,space,0.417214881,space,0.417285537,space,0.550523057,space,3.533596645,space,0.934080899,space,0.883872048,space,1.983752918,j,1,3.000203681,SPR,4,B,M,59.8938479
