Sub,Type,ID,Position,RT,ACC
1,2,54,5,0.550454768,1
1,1,25,5,0.533826772,1
1,2,34,5,0.450617318,1
1,1,17,5,0.583827996,1
1,1,33,5,0.367175368,1
1,1,30,5,0.400398993,1
1,1,26,5,0.483820812,1
1,1,32,5,0.533940849,1
1,2,63,5,0.433782089,1
1,1,3,5,0.467211762,1
1,2,42,5,0.533973612,1
1,2,43,5,0.400506359,1
1,1,19,5,0.367194315,1
1,2,51,5,0.500132629,1
1,1,18,5,0.467176237,1
1,2,52,5,0.400513465,1
2,2,52,5,0.433579987,1
2,1,23,5,0.767125159,1
2,1,19,5,0.567147895,1
2,2,53,5,1.217189855,1
2,1,18,5,0.583599842,1
2,2,51,5,1.067176316,1
2,1,3,5,0.817233354,1
2,2,43,5,0.600539675,1
2,1,16,5,0.533898218,1
2,2,42,5,0.583887995,1
2,1,2,5,0.500586174,1
2,2,37,5,1.233824956,1
2,2,54,5,1.10048757,1
2,1,17,5,0.817150066,1
2,2,34,5,0.583839838,1
2,1,33,5,0.767434627,1
2,2,48,5,0.617153066,1
2,1,25,5,0.683828469,1
2,2,62,5,0.633787378,1
2,1,30,5,,1
2,1,26,5,1.117295169,1
2,2,63,5,0.583876942,1
2,2,57,5,0.46718571,1
2,1,32,5,0.450481926,1
3,1,23,5,0.817183223,1
3,2,52,5,0.683803207,1
3,2,53,5,0.517206276,1
3,1,18,5,1.567073686,1
3,1,19,5,0.800612068,1
3,2,51,5,0.500101051,1
3,1,25,5,0.567188947,1
3,2,34,5,0.583541817,1
3,1,17,5,0.500490649,1
3,1,33,5,0.65052432,1
3,2,48,5,0.950643765,1
3,2,54,5,0.650575635,1
3,1,3,5,0.700458045,1
3,2,43,5,0.633476331,1
3,2,42,5,0.583852864,1
3,2,37,5,0.567113554,1
3,1,2,5,0.850529609,1
3,1,32,5,1.067246183,1
3,2,63,5,0.51714075,1
3,2,57,5,0.467435179,1
3,2,62,5,0.817088093,1
3,1,30,5,,1
3,1,26,5,1.450557319,1
