Sub,Type,ID,Position,RT,ACC
1,2,54,1,0.467105975,1
1,1,25,1,0.400670765,1
1,2,34,1,0.325394,1
1,1,17,1,0.450583569,1
1,1,33,1,0.400548201,1
1,1,30,1,0.350469808,1
1,1,26,1,0.367302472,1
1,1,32,1,0.458874673,1
1,2,63,1,0.375506537,1
1,1,3,1,0.500617752,1
1,2,42,1,0.483668052,1
1,2,43,1,0.358711768,1
1,1,19,1,0.45065087,1
1,2,51,1,0.417133172,1
1,1,18,1,0.400503794,1
1,2,52,1,0.308784951,1
2,2,52,1,0.642211901,1
2,1,23,1,0.77549363,1
2,1,19,1,0.775545537,1
2,2,53,1,0.683807154,1
2,1,18,1,0.883778299,1
2,2,51,1,0.625449893,1
2,1,3,1,0.800399507,1
2,2,43,1,0.492124745,1
2,1,16,1,0.950555148,1
2,2,42,1,0.667291261,1
2,1,2,1,0.633807904,1
2,2,37,1,0.683783273,1
2,2,54,1,0.784007756,1
2,1,17,1,0.750506242,1
2,2,34,1,0.97543142,1
2,1,33,1,0.6420996,1
2,2,48,1,0.617061291,1
2,1,25,1,0.57558801,1
2,2,62,1,0.700390743,1
2,1,30,1,0.933858666,1
2,1,26,1,0.600526846,1
2,2,63,1,0.567000859,1
2,2,57,1,0.508862278,1
2,1,32,1,0.817146119,1
3,1,23,1,1.083771549,1
3,2,52,1,0.8755168,1
3,2,53,1,0.983951665,1
3,1,18,1,1.192223782,1
3,1,19,1,0.958790003,1
3,2,51,1,1.067131711,1
3,1,25,1,0.700493176,1
3,2,34,1,1.433761563,1
3,1,17,1,0.85865769,1
3,1,33,1,0.658771806,1
3,2,48,1,0.650450308,1
3,2,54,1,0.56733855,1
3,1,3,1,0.700472255,1
3,2,43,1,0.867170237,1
3,2,42,1,0.917132777,1
3,2,37,1,0.6921026,1
3,1,2,1,0.875421868,1
3,1,32,1,0.725590891,1
3,2,63,1,0.817081778,1
3,2,57,1,0.900544056,1
3,2,62,1,0.633805536,1
3,1,30,1,1.117104909,1
3,1,26,1,0.73369292,1
4,1,33,1,0.617113001,1
4,1,25,1,1.0088232,1
4,2,34,1,0.892094863,1
4,1,17,1,0.558775872,1
4,2,54,1,0.934080899,1
4,2,48,1,0.850356126,1
4,2,37,1,1.100520136,1
4,2,42,1,0.517182,1
4,1,3,1,0.542329254,1
4,2,43,1,0.92548763,1
4,1,2,1,0.575360843,1
4,2,53,1,0.558770148,1
4,1,23,1,0.467169329,1
4,2,51,1,1.300447861,1
4,1,18,1,0.617116159,1
4,2,52,1,0.592114363,1
4,1,19,1,0.708172251,1
4,1,26,1,0.64215802,1
4,1,30,1,0.683701169,1
4,2,63,1,0.650509912,1
4,2,57,1,0.733926599,1
4,2,62,1,1.008792411,1
4,1,32,1,0.550487137,1
5,1,2,1,0.692177993,1
5,1,3,1,0.983755879,1
5,2,42,1,0.775497775,1
5,2,43,1,0.74248987,1
5,1,19,1,0.883874416,1
5,2,52,1,0.767141935,1
5,2,53,1,0.775344817,1
5,1,18,1,0.941969773,1
5,1,23,1,0.675408684,1
5,2,51,1,0.800374046,1
5,1,25,1,0.65051307,1
5,1,17,1,0.692322267,1
