Sentences,Question,word5,word4,word6,word1,word3,Ans,word2,lenth,Type,ID,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,key_resp_12.keys,Atests1.keys,Atests1.rt,Atests2.keys,Atests2.rt,Atests3.keys,Atests3.rt,Atests4.keys,Atests4.rt,Atests5.keys,Atests5.rt,Atests6.keys,Atests6.rt,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,key_resp_12.rt,expName,participant,version,Grade,Gender,frameRate,session,date,
妹妹的個性一向是冷冰冰的,妹妹個性熱情？,是,一向,冷冰冰的,妹妹,個性,j,的,11,3,20,0,0,0,19,None,space,2.06707932038,space,0.367159569569,space,0.38719344554,space,0.33718474168,space,0.397181765395,space,0.648692111936,j,1,1.07045073359,,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
夏天是個非常美麗的季節,夏天是個好季節？,的,美麗,季節,夏天,非常,f,是個,11,3,23,0,1,1,22,space,space,0.407232453039,space,0.350420923367,space,0.30391586822,space,0.30724386082,space,0.373952527059,space,0.351022890953,f,1,0.970691875884,0.500533876169,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
主任指責嘲笑上司的會計,主任指責會計？,的,上司,會計,主任,嘲笑,f,指責,11,1,23,0,2,2,6,space,space,0.5272280794,space,0.393434961252,space,0.346695040063,space,0.483678783779,space,1.09245669485,space,2.64699120812,f,1,1.13349470012,0.317079024331,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
科學家協助熟識表姐的院士,科學家排斥院士？,的,表姐,院士,科學家 ,熟識,j,協助,12,1,24,0,3,3,7,space,space,0.443618926492,space,0.373313059856,space,0.597252896252,space,0.6972730671,space,0.487220721579,space,0.73706766392,j,1,1.02543776859,0.377028680105,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
小張欽佩隊長袒護的消防員,校長欽佩隊長？,的,袒護,消防員,小張,隊長,j,欽佩,12,2,52,0,4,4,11,space,space,0.500428482501,space,0.613783518245,space,0.423830969081,space,0.913718111015,space,0.993636117108,space,2.44371208344,j,1,1.61257168842,0.400646335556,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
許多古生物學家著迷於恐龍,學者討厭恐龍？,於,著迷,恐龍,許多,生物學家,j,古,12,3,22,0,5,5,21,space,space,0.370037961457,space,0.477016482859,space,0.623461972818,space,0.560273928804,space,0.576982180575,space,0.567031755074,j,1,1.18057330209,0.517025814343,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
刑警緝拿政府輕視的逃亡者,政府重視逃亡者？,的,輕視,逃亡者,刑警,政府,j,緝拿,12,2,56,0,6,6,15,space,space,0.553893861865,space,0.366974045131,space,0.403953012581,space,0.472604948609,space,0.403959328307,space,1.19374908965,j,1,1.75044910729,0.383786901106,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
阿姨看見交警驅趕的行政人員,交警驅趕行政人員？,的,驅趕,行政人員,阿姨,交警,f,看見,13,2,53,0,7,7,12,space,space,0.550639289577,space,0.41005676653,space,0.420560212746,space,0.467097241251,space,0.400461205854,space,1.33721039932,f,1,1.65057617179,0.475498735079,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
媽媽討厭小白忽視的企業家,小白忽視企業家？,的,忽視,企業家,媽媽,小白,f,討厭,12,2,55,0,8,8,14,space,space,0.584295001221,space,0.41709919518,space,0.371149923876,space,0.420313504719,space,0.418998649619,space,1.30409981373,f,1,5.70045974534,0.373567267805,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
贊助商支持貴族拉攏的青年,貴族排斥青年？,的,拉攏,青年,贊助商,貴族,j,支持,12,2,54,0,9,9,13,space,space,0.58970718323,space,0.384381763501,space,0.436964520228,space,0.4672721079,space,0.55043442323,space,0.983449246633,j,1,4.5676570119,0.483813782414,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
如果天氣好的話我就去野餐,天氣好也不野餐？,就,我,去野餐,如果,的話,j,天氣好,12,3,24,0,10,10,23,space,space,0.516840684641,space,0.429218677653,space,0.387135814546,space,0.423960046721,space,0.420557449615,space,0.603831908546,f,0,2.60687648296,0.403628542184,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
有人明年要在高雄舉辦演唱會,明年有演唱會？,舉辦,高雄,演唱會,有人,要在,f,明年,13,3,17,0,11,11,16,space,space,0.350415397106,space,0.700415929996,space,0.567282015696,space,0.617301772076,space,0.443592874124,space,0.503974367628,f,1,1.57895426586,0.550192846731,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
外婆批評辱罵農夫的木匠,外婆批評木匠？,的,農夫,木匠,外婆,辱罵,f,批評,11,1,19,0,12,12,2,space,space,0.733646119637,space,0.547440374618,space,0.564526385719,space,0.507235650375,space,0.890662160396,space,0.800676098414,j,0,6.98705947321,0.350474607034,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
青年佩服小謝督促的技術員,青年佩服小謝？,的,督促,技術員,青年,小謝,j,佩服,12,2,50,0,13,13,9,space,space,0.550343239944,space,0.407262452734,space,0.433775078858,space,0.73058062438,space,0.420688895651,space,1.29384149661,j,1,2.15053650114,0.350440265276,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
偵探跟蹤迷戀老婆的編輯,偵探跟蹤編輯？,的,老婆,編輯,偵探,迷戀,f,跟蹤,11,1,17,0,14,14,0,space,space,0.519031057185,space,0.41712406335,space,0.417148142053,space,0.433545344344,space,0.500277299823,space,1.25734015589,f,1,4.19226489416,0.417111826629,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
治療師開導小崔照顧的飛行員,治療師開導飛行員？,的,照顧,飛行員,治療師,小崔,f,開導,13,2,49,0,15,15,8,space,space,0.590382571125,space,0.367062860021,space,0.413529231348,space,0.557336326989,space,0.726773426111,space,1.1439436732,f,1,3.77910000122,0.483482601558,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
同伴欺負取笑小郭的廚師,同伴關心廚師？,的,小郭,廚師,同伴,取笑,j,欺負,11,1,22,0,16,16,5,space,space,0.603844145264,space,0.567126096223,space,0.401944217143,space,0.514653469958,space,0.640385748722,space,0.647427387907,j,1,7.9555230822,0.400279234012,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
老闆責罵同情雇主的技工,技工責罵老闆？,的,雇主,技工,老闆,同情,j,責罵,11,1,18,0,17,17,1,space,space,0.540549918112,space,0.433441134872,space,0.583827242803,space,0.533968142692,space,0.480266713086,None,,j,1,2.16700593955,0.450264253901,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
妹妹迷戀結識表哥的中醫師,中醫師迷戀妹妹？,的,表哥,中醫師,妹妹,結識,j,迷戀,12,1,20,0,18,18,3,space,space,0.517077129613,space,0.370553877283,space,0.437522277736,space,0.510269961738,space,0.781614054698,space,1.56702464988,j,1,1.87066933664,0.416869460663,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
雨後有時會見到漂亮的彩虹,雨後可能現彩虹？,的,漂亮,彩虹,雨後,會見到,f,有時,12,3,21,0,19,19,20,space,space,0.500334536084,space,0.433759684278,space,0.367131938268,space,0.483764046074,space,0.383307695436,space,0.530623966046,f,1,1.74392812073,0.417098800448,SPR,39,A,,f,50.0085671705,001,2017_01_20_1109,
