Sentences,Question,word5,word4,word6,word1,word3,Ans,word2,lenth,Type,ID,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,key_resp_12.keys,key_resp_12.rt,Atests1.keys,Atests1.rt,Atests2.keys,Atests2.rt,Atests3.keys,Atests3.rt,Atests4.keys,Atests4.rt,Atests5.keys,Atests5.rt,Atests6.keys,Atests6.rt,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,expName,participant,version,Grade,Gender,frameRate,session,date,
每個人都應該要遵守交通規則,交通規則要遵守?,交通,遵守,規則,每個人,要,f,都應該,13,3,63,0,0,0,22,space,1.35355036531,space,0.557215144043,space,0.600511810626,space,0.550384292146,space,0.54356409813,space,0.602498895722,space,0.520609199128,f,1,1.42367702327,SPR,44,B,,f,50.0100479743,001,2017_01_23_1259,
朋友毆打駕駛員碰見的盜賊,朋友幫助盜賊？,的,碰見,盜賊,朋友,駕駛員,j,毆打,12,2,32,0,1,1,7,space,0.417087747948,space,0.417044722009,space,0.562184041017,space,0.540585838782,space,0.550620342372,space,0.420630869921,space,0.410660313035,f,0,1.90372465964,SPR,44,B,,f,50.0100479743,001,2017_01_23_1259,
熱鬧的夜市有很多美味的食物,夜市很多美食?,的,美味,食物,熱鬧的,有很多,f,夜市,13,3,61,0,2,2,20,space,0.425550030603,space,0.443732214801,space,0.417275640764,space,0.430391034228,space,0.41711301083,space,0.457282998541,space,0.483613652876,f,1,0.917050445685,SPR,44,B,,f,50.0100479743,001,2017_01_23_1259,
助手賄賂小吳批評的評論家,助手賄賂評論家？,的,批評,評論家,助手,小吳,f,賄賂,12,2,29,0,3,3,4,space,0.450131623656,space,0.353965229529,space,0.530575413897,space,0.43345968728,space,0.450348332,space,0.433767184208,space,0.500430456188,j,0,2.62899415364,SPR,44,B,,f,50.0100479743,001,2017_01_23_1259,
隔壁的大伯擅長修理各種電器,大伯不會修電器?,各種,修理,電器,隔壁的,擅長,j,大伯,13,3,64,0,4,4,23,space,0.483995359566,space,0.473177311243,space,0.403680646908,space,0.426934753428,space,0.700319220487,space,0.409836110834,space,0.40043357457,j,1,1.04057103628,SPR,44,B,,f,50.0100479743,001,2017_01_23_1259,
海關扣留侮辱空服員的旅客,海關扣留空服員？,的,空服員,旅客,海關,侮辱,j,扣留,12,1,58,0,5,5,9,space,0.463963851973,space,0.45038898947,space,0.450218859653,space,0.650439594232,space,0.550447449437,space,0.439938832249,space,0.440518694755,f,0,1.28401580668,SPR,44,B,,f,50.0100479743,001,2017_01_23_1259,
媽媽的拿手菜是糖醋排骨,媽媽有拿手菜?,糖醋,是,排骨,媽媽,拿手菜,f,的,11,3,59,0,6,6,18,space,0.45039569994,space,0.75894375809,space,0.654118899081,space,0.520242492319,space,0.523771798646,space,0.667120214726,space,0.500266642019,f,1,1.0458399303,SPR,44,B,,f,50.0100479743,001,2017_01_23_1259,
政府豁免犯人檢舉的同伴,同伴豁免政府？,的,檢舉,同伴,政府,犯人,j,豁免,11,2,26,0,7,7,1,space,0.483664178639,space,0.487418877485,space,0.570613166201,space,0.503913183988,space,0.492364485282,space,0.550049953454,space,0.504301995912,j,1,1.69018327049,SPR,44,B,,f,50.0100479743,001,2017_01_23_1259,
朋友們推薦了許多好聽的歌曲,朋友推薦了歌曲?,的,好聽,歌曲,朋友們,許多,f,推薦了,13,3,57,0,8,8,16,space,0.508865107549,space,0.433512976218,space,1.08063405147,space,0.403722883377,space,0.4875013766,space,0.473749279103,space,0.433444687456,f,1,0.867119504197,SPR,44,B,,f,50.0100479743,001,2017_01_23_1259,
小明昨天吃了一碗美味的小米粥,昨天沒吃小米粥?,的,美味,小米粥,小明,吃了一碗,j,昨天,12,3,58,0,9,9,17,space,0.400444627041,space,0.517037656333,space,0.433827578323,space,0.657067553431,space,0.417027353775,space,0.417072748067,space,0.556908436585,j,1,1.21362428303,SPR,44,B,,f,50.0100479743,001,2017_01_23_1259,
