Sub,Type,ID,Position,RT,ACC
1,1,1,3,0.433699028,1
1,1,2,3,0.333736489,1
1,1,3,3,0.350285728,1
1,1,4,3,0.667109032,1
1,1,5,3,0.467093164,1
1,1,6,3,0.400400419,1
1,1,8,3,0.317092118,1
1,1,10,3,0.333907409,1
1,1,11,3,0.317056592,1
1,1,12,3,0.283871666,1
1,1,13,3,0.316741989,1
1,1,14,3,0.467176058,1
1,1,15,3,0.3336532,1
1,1,16,3,0.300361695,1
1,1,17,3,0.467161848,1
1,1,18,3,0.350393096,1
1,1,19,3,0.383748943,1
1,1,20,3,0.517089829,1
1,1,21,3,0.433901922,1
1,1,22,3,0.33375662,1
1,1,23,3,0.400161604,1
1,1,24,3,0.333723068,1
1,1,26,3,0.48384885,1
1,1,27,3,0.267047296,1
1,1,28,3,0.650451241,1
1,1,29,3,0.283682982,1
1,1,30,3,0.617051973,1
1,1,31,3,0.283814429,1
1,1,32,3,0.250349241,1
1,2,33,3,0.333747541,1
1,2,34,3,0.283707061,1
1,2,35,3,0.700407247,1
1,2,36,3,0.317139091,1
1,2,37,3,0.417018342,1
1,2,38,3,0.283749298,1
1,2,39,3,0.333703726,1
1,2,40,3,0.316799225,1
1,2,41,3,0.600609707,1
1,2,42,3,0.467101453,1
1,2,43,3,0.317100013,1
1,2,44,3,0.450391162,1
1,2,45,3,0.300403537,1
1,2,46,3,0.300403932,1
1,2,47,3,0.333708068,1
1,2,48,3,0.300164723,1
1,2,49,3,0.317127249,1
1,2,50,3,0.600477865,1
1,2,51,3,0.550139756,1
1,2,52,3,0.300412616,1
1,2,53,3,0.267084401,1
1,2,54,3,0.300426826,1
1,2,55,3,0.400410682,1
1,2,56,3,0.433439688,1
1,2,57,3,0.333650042,1
1,2,58,3,0.433732976,1
1,2,59,3,0.283705877,1
1,2,60,3,0.417130052,1
1,2,61,3,0.300686167,1
1,2,62,3,0.300266959,1
1,2,63,3,0.333746357,1
1,2,64,3,0.33372662,1
2,1,44,3,0.450448793,1
2,2,9,3,,1
2,2,14,3,0.467073822,1
2,2,12,3,0.417289919,1
2,1,41,3,0.400505418,1
2,2,13,3,0.31710396,1
2,1,42,3,0.533764594,1
2,2,10,3,0.733705463,1
2,1,43,3,,1
