Sub,Type,ID,Position,RT,ACC
1,1,1,7,0.575323613,1
1,1,2,7,0.350415991,1
1,1,3,7,0.358679953,1
1,1,4,7,0.667109032,1
1,1,5,7,0.450427478,1
1,1,6,7,0.425418488,1
1,1,8,7,0.333818396,1
1,1,10,7,0.333907409,1
1,1,11,7,0.417220446,1
1,1,12,7,0.292109378,1
1,1,13,7,0.34190532,1
1,1,14,7,0.675492402,1
1,1,15,7,0.35039961,1
1,1,16,7,0.350403952,1
1,1,17,7,0.467128493,1
1,1,18,7,0.367088585,1
1,1,19,7,0.425519145,1
1,1,20,7,0.508746131,1
1,1,21,7,0.425573816,1
1,1,22,7,0.333768462,1
1,1,23,7,0.425142371,1
1,1,24,7,0.367084638,1
1,1,26,7,0.450537806,1
1,1,27,7,0.283744561,1
1,1,28,7,0.517137987,1
1,1,29,7,0.275390994,1
1,1,30,7,0.550399688,1
1,1,31,7,0.500462234,1
1,1,32,7,0.267181703,1
1,2,33,7,0.341962162,1
1,2,34,7,0.300396037,1
1,2,35,7,0.650394794,1
1,2,36,7,0.375437218,1
1,2,37,7,0.392034221,1
1,2,38,7,0.325350159,1
1,2,39,7,0.358798966,1
1,2,40,7,0.33347182,1
1,2,41,7,0.45871019,1
1,2,42,7,0.458757558,1
1,2,43,7,0.317092908,1
1,2,44,7,0.500372235,1
1,2,45,7,0.308743288,1
1,2,46,7,0.31704179,1
1,2,47,7,0.35872969,1
1,2,48,7,0.308633355,1
1,2,49,7,0.292077207,1
1,2,50,7,0.525409448,1
1,2,51,7,0.525276818,1
1,2,52,7,0.325397527,1
1,2,53,7,0.300427419,1
1,2,54,7,0.283839692,1
1,2,55,7,0.375444126,1
1,2,56,7,0.567062612,1
1,2,57,7,0.350347307,1
1,2,58,7,0.458727164,1
1,2,59,7,0.258751361,1
1,2,60,7,0.350480135,1
1,2,61,7,0.300526892,1
1,2,62,7,0.292000826,1
1,2,63,7,0.458757361,1
1,2,64,7,0.417126697,1
2,1,44,7,0.508875998,1
2,2,9,7,0.734952429,1
2,2,14,7,0.44206503,1
2,2,12,7,0.442195884,1
2,1,41,7,0.400460813,1
2,2,13,7,0.31710396,1
2,1,42,7,0.533745647,1
2,2,10,7,0.733705463,1
2,1,43,7,,1
2,1,46,7,0.567045835,1
2,1,48,7,0.5421752,1
2,2,15,7,0.491820314,1
2,2,16,7,0.358740545,1
2,2,11,7,0.383773614,1
2,2,4,7,0.358815347,1
2,1,35,7,0.359263371,1
2,1,40,7,0.433713634,1
2,1,34,7,0.342095977,1
2,2,3,7,0.250406083,1
2,1,39,7,0.383716575,1
2,1,38,7,0.425438027,1
2,2,5,7,0.467119217,1
2,2,1,7,0.442014701,1
2,1,36,7,0.483746022,1
2,1,33,7,0.442122858,1
2,2,8,7,0.792185562,1
2,2,6,7,0.467092967,1
2,2,2,7,0.283890613,1
2,1,37,7,0.575252364,1
2,2,7,7,0.475387916,1
2,1,60,7,0.600264906,1
2,2,31,7,0.367115625,1
2,2,25,7,0.325420422,1
2,2,29,7,0.500428879,1
2,1,57,7,0.558797268,1
2,2,27,7,0.35038086,1
