Type,ID,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,key_resp_12.keys,key_resp_12.rt,Atests1.keys,Atests1.rt,Atests2.keys,Atests2.rt,Atests3.keys,Atests3.rt,Atests4.keys,Atests4.rt,Atests5.keys,Atests5.rt,Atests6.keys,Atests6.rt,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,expName,participant,version,Gender,frameRate,session
1,37,0,0,0,3,space,0.650731553,space,1.083902994,space,0.700674751,space,0.783986046,space,0.73386364,space,0.434011427,space,0.566779612,f,1,7.116995964,SPR,10,A,M,59.99071739,1
1,43,0,1,1,5,space,0.250598608,space,0.449920225,space,0.500210391,space,0.433849193,space,0.550189115,space,0.417193565,space,0.550100301,f,1,2.667166132,SPR,10,A,M,59.99071739,1
3,1,0,2,2,6,space,0.333772141,space,0.40044044,space,0.53396177,space,0.466935057,space,0.332878473,space,0.350721053,space,0.383738234,f,1,5.100574016,SPR,10,A,M,59.99071739,1
3,10,0,3,3,11,space,0.250531899,space,0.467109527,space,0.400566358,space,0.417261064,space,0.600412572,space,0.417081462,space,0.350475926,j,1,1.617175566,SPR,10,A,M,59.99071739,1
1,42,0,4,4,4,space,0.233878245,space,0.433231835,space,0.417119356,space,0.467207815,space,0.517168776,space,0.533869008,space,3.250181378,j,1,1.300170365,SPR,10,A,M,59.99071739,1
3,3,0,5,5,7,space,0.333800562,space,0.317004016,space,0.467236236,space,0.400433334,space,0.367069975,space,0.350519741,space,0.500446439,f,1,1.550551477,SPR,10,A,M,59.99071739,1
2,3,0,6,6,1,space,0.300546938,space,0.43384643,space,0.400619647,space,0.400736882,space,1.500977746,space,0.433397227,space,0.40051978,f,1,2.833800957,SPR,10,A,M,59.99071739,1
3,8,0,7,7,9,space,0.267226999,space,0.38378047,space,0.350447505,space,0.350476715,space,0.350519346,space,0.400098209,space,0.300107603,j,1,1.550459505,SPR,10,A,M,59.99071739,1
2,16,0,8,8,2,space,0.350509083,space,0.367125632,space,0.367244841,space,0.333406622,space,0.883792312,space,0.400523728,space,0.433661696,j,1,6.01681944,SPR,10,A,M,59.99071739,1
3,4,0,9,9,8,space,0.233917323,space,0.401501079,space,0.317423614,space,0.283899205,space,0.450466137,space,0.300451413,space,0.433828272,j,1,1.350614476,SPR,10,A,M,59.99071739,1
3,9,0,10,10,10,space,0.267141343,space,0.417313563,space,0.400572279,space,0.366908136,space,0.433863798,space,0.367204183,space,0.467037292,f,1,1.383923362,SPR,10,A,M,59.99071739,1
2,2,0,11,11,0,space,0.300501149,space,0.317106251,space,0.400370572,space,0.333734642,space,0.583959441,space,0.415993192,space,0.500894458,j,1,1.550619765,SPR,10,A,M,59.99071739,1
3,65,0,0,0,11,space,0.467369654,space,0.533747826,space,0.367113001,space,0.350498425,space,0.283806049,space,0.300429703,space,0.400576227,f,1,1.133818956,SPR,10,A,M,59.99071739,1
3,35,0,1,1,9,space,0.283799338,space,0.35033777,space,0.333780036,space,0.28393631,space,0.400375309,space,0.33384714,space,0.400378072,f,1,5.083871416,SPR,10,A,M,59.99071739,1
1,48,0,2,2,3,space,0.233832061,space,0.400509912,space,0.35046211,space,0.317050199,space,0.317088093,space,0.433852745,space,0.317440587,j,1,1.233811141,SPR,10,A,M,59.99071739,1
2,33,0,3,3,4,space,0.233902718,space,0.383799022,space,0.300509833,space,0.400473597,space,0.333867666,space,0.350590397,space,0.350278561,f,1,3.783838417,SPR,10,A,M,59.99071739,1
3,15,0,4,4,7,space,0.333965559,space,0.383750471,space,0.367198263,space,0.3504704,space,0.300486544,space,0.350494873,space,0.633881718,f,1,1.483816075,SPR,10,A,M,59.99071739,1
3,14,0,5,5,6,space,0.217180776,space,0.383854285,space,0.300508649,space,0.367161553,space,0.383784417,space,0.400496097,space,0.400393861,j,1,0.800507859,SPR,10,A,M,59.99071739,1
2,25,0,6,6,2,space,0.267134237,space,0.417120935,space,0.467411101,space,0.433763931,space,0.433848008,space,0.417168303,space,1.950742447,f,1,1.48362542,SPR,10,A,M,59.99071739,1
3,63,0,7,7,10,space,0.250501899,space,0.351227492,space,0.317374667,space,0.350540267,space,0.317132303,space,0.300517728,space,0.317077041,f,1,0.950517057,SPR,10,A,M,59.99071739,1
1,54,0,8,8,5,space,0.2838846,space,0.533790852,space,1.733809562,space,0.717162618,space,0.86703366,space,0.517222459,space,1.217123935,j,1,1.017154171,SPR,10,A,M,59.99071739,1
2,17,0,9,9,0,space,0.317199802,space,0.383754418,space,0.350477505,space,0.38375126,space,0.333856219,space,0.367195105,space,0.550519899,j,0,1.467065318,SPR,10,A,M,59.99071739,1
1,34,0,10,10,1,space,0.333902402,space,0.467037292,space,0.333928454,space,0.350049223,space,0.400501228,space,0.400548596,space,0.533776247,f,0,5.467321892,SPR,10,A,M,59.99071739,1
3,33,0,11,11,8,space,0.300582069,space,0.833734642,space,0.70045686,space,0.367116553,space,0.283480397,space,0.317199407,space,0.850707238,f,1,1.267130685,SPR,10,A,M,59.99071739,1
3,55,0,0,0,10,space,0.384083228,space,0.417088962,space,0.400478334,space,0.350485399,space,0.467144264,space,0.41722988,space,0.617124251,f,1,1.083804707,SPR,10,A,M,59.99071739,1
1,63,0,1,1,5,space,0.333888192,space,0.51712733,space,0.600534543,space,0.667208368,space,0.550515557,space,1.333971085,space,0.550562924,f,1,2.700469097,SPR,10,A,M,59.99071739,1
3,16,0,2,2,8,space,0.250519267,space,0.433614328,space,0.317144145,space,0.300484176,space,0.317185986,space,0.317111382,space,0.383849548,j,1,1.100423624,SPR,10,A,M,59.99071739,1
3,60,0,3,3,11,space,0.850809867,space,0.433626565,space,0.33390635,space,0.367241683,space,0.400514649,space,0.467125711,space,0.56711079,j,1,0.783655262,SPR,10,A,M,59.99071739,1
3,40,0,4,4,7,space,0.300535096,space,0.317109409,space,0.283836048,space,0.35030106,space,0.33377372,space,0.350565135,space,0.383826654,j,1,4.184230304,SPR,10,A,M,59.99071739,1
1,62,0,5,5,4,space,0.467177026,space,0.63382843,space,0.417161987,space,0.400517412,space,0.433880376,space,0.533867824,space,0.483391345,j,1,8.033891508,SPR,10,A,M,59.99071739,1
1,57,0,6,6,3,space,0.367184447,space,0.400091498,space,0.367093659,space,0.317164276,space,0.416749889,space,0.750604134,space,0.583833522,f,1,7.217398272,SPR,10,A,M,59.99071739,1
