Type,ID,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,key_resp_12.keys,key_resp_12.rt,Atests1.keys,Atests1.rt,Atests2.keys,Atests2.rt,Atests3.keys,Atests3.rt,Atests4.keys,Atests4.rt,Atests5.keys,Atests5.rt,Atests6.keys,Atests6.rt,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,expName,participant,version,Gender,frameRate
3,60,0,0,0,11,space,0.550669896,space,0.368214692,space,0.417180539,space,0.717110909,space,0.350650791,space,0.333645038,space,0.383814812,j,1,0.866987477,SPR,22,B,M,59.99043327
2,62,0,1,1,4,space,0.317140987,space,0.383886653,space,0.550305955,space,0.317172566,space,0.383813628,space,0.500511965,space,0.417075541,j,1,2.267177658,SPR,22,B,M,59.99043327
2,63,0,2,2,5,space,0.333876745,space,0.26710108,space,0.317413351,space,0.283749602,space,0.3337453,space,0.500571569,space,0.350530793,j,0,1.80011313,SPR,22,B,M,59.99043327
1,30,0,3,3,1,space,0.317186776,space,0.300481018,space,0.583842206,space,0.417150934,space,1.417131987,space,0.534004795,space,2.05056924,f,0,1.533810983,SPR,22,B,M,59.99043327
3,20,0,4,4,9,space,0.383827048,space,0.549753728,space,0.500712093,space,0.65056774,space,0.333826219,space,0.367075896,space,0.567473547,j,1,1.350500794,SPR,22,B,M,59.99043327
1,26,0,5,5,0,space,0.350663817,space,0.417130014,space,0.500437755,space,1.26766436,space,0.817432693,space,1.650521951,space,1.033868219,j,1,1.317220723,SPR,22,B,M,59.99043327
3,16,0,6,6,8,space,0.317077436,space,0.300504307,space,0.283740129,space,0.317109804,space,0.500472492,space,0.500494202,space,0.400630699,j,1,1.083807075,SPR,22,B,M,59.99043327
3,39,0,7,7,6,space,0.317222302,space,0.300478255,space,0.367129974,space,0.333750431,space,0.40062991,space,0.367068791,space,0.483741471,f,1,0.817074278,SPR,22,B,M,59.99043327
1,32,0,8,8,2,space,0.267129501,space,0.317156776,space,0.28381197,space,1.017165224,space,1.517194039,space,1.633783825,space,0.950436532,j,1,1.550120827,SPR,22,B,M,59.99043327
2,57,0,9,9,3,space,0.317140593,space,0.283831706,space,0.517152198,space,0.733639433,space,0.600513623,space,0.566783559,space,1.2337468,f,1,0.850468821,SPR,22,B,M,59.99043327
3,40,0,10,10,7,space,0.450530872,space,0.300492465,space,0.350307376,space,0.283766181,space,0.333748458,space,0.350486189,space,0.333707011,j,1,0.800387467,SPR,22,B,M,59.99043327
3,55,0,11,11,10,space,0.300501939,space,0.217148408,space,0.333817141,space,0.300426545,space,0.250543346,space,0.300491676,space,0.317430719,f,1,0.834002664,SPR,22,B,M,59.99043327
1,2,0,0,0,0,space,0.617331879,space,0.35048461,space,0.350617634,space,0.500461439,space,0.583653525,space,0.467073607,space,0.667083633,j,1,1.200441071,SPR,22,B,M,59.99043327
3,9,0,1,1,10,space,0.250527162,space,0.333712537,space,0.300518912,space,0.250461242,space,0.350473163,space,0.300814565,space,0.300782986,f,1,1.783722761,SPR,22,B,M,59.99043327
3,8,0,2,2,9,space,0.267223052,space,0.283817101,space,0.584235752,space,0.500251443,space,0.283766181,space,0.300508649,space,0.333782404,j,1,0.700731198,SPR,22,B,M,59.99043327
1,3,0,3,3,1,space,0.250490847,space,0.433464726,space,0.333705037,space,0.350434479,space,0.50048236,space,0.967436758,space,1.567579335,f,1,0.917429219,SPR,22,B,M,59.99043327
2,43,0,4,4,5,space,0.317236907,space,0.316836651,space,0.317215591,space,1.583724182,space,0.283693156,space,0.433838535,space,0.400528464,f,1,1.183781891,SPR,22,B,M,59.99043327
3,3,0,5,5,7,space,0.28392052,space,0.25059545,space,0.417135145,space,0.383814417,space,0.250618739,space,0.267151605,space,0.283811575,f,1,0.783785128,SPR,22,B,M,59.99043327
3,1,0,6,6,6,space,0.300549701,space,0.317058883,space,0.316986253,space,0.483700419,space,0.300412335,space,0.383813233,space,0.300422203,f,1,0.833822667,SPR,22,B,M,59.99043327
2,42,0,7,7,4,space,0.283794207,space,0.367150895,space,0.450652054,space,0.550170563,space,0.467335313,space,0.367137869,space,0.533793615,j,1,1.350464084,SPR,22,B,M,59.99043327
1,16,0,8,8,2,space,0.30052207,space,0.283731445,space,0.38400744,space,0.533854403,space,0.367161158,space,0.517114304,space,0.383778891,f,0,2.50081038,SPR,22,B,M,59.99043327
2,37,0,9,9,3,space,0.300493649,space,0.317387299,space,0.867352207,space,0.917112646,space,0.450402585,space,0.833808457,space,1.717122751,j,0,1.750548477,SPR,22,B,M,59.99043327
3,4,0,10,10,8,space,0.317096383,space,0.333909113,space,0.450574687,space,0.350458163,space,0.400601095,space,0.28394302,space,0.267108975,j,1,1.033722169,SPR,22,B,M,59.99043327
3,10,0,11,11,11,space,0.350565529,space,0.333800167,space,0.367178921,space,0.717092751,space,0.417057778,space,0.31715204,space,0.284001835,j,1,1.083753392,SPR,22,B,M,59.99043327
2,53,0,0,0,5,space,0.433915507,space,0.383781654,space,0.45008088,space,0.667086791,space,0.550442926,space,0.683852943,space,0.500667488,j,0,2.783908678,SPR,22,B,M,59.99043327
2,52,0,1,1,4,space,0.300583253,space,0.283662762,space,0.383685735,space,0.300646015,space,0.317182039,space,0.417152119,space,1.650116169,j,1,2.184027808,SPR,22,B,M,59.99043327
3,28,0,2,2,9,space,0.66722692,space,0.366782217,space,0.31709362,space,0.517118251,space,0.417227117,space,0.366888794,space,0.317127961,j,1,1.367078659,SPR,22,B,M,59.99043327
3,43,0,3,3,6,space,0.317344273,space,0.350517372,space,0.550486347,space,0.300480228,space,0.233806799,space,0.317165855,space,0.367022213,f,1,0.717056436,SPR,22,B,M,59.99043327
2,51,0,4,4,3,space,0.300511412,space,0.300476676,space,0.400478334,space,0.467091764,space,0.4334292,space,0.400578595,space,0.65064116,f,1,0.967315971,SPR,22,B,M,59.99043327
1,18,0,5,5,0,space,0.300542596,space,0.350578161,space,0.350119485,space,1.717113277,space,0.467221631,space,0.917179355,space,0.65048682,j,1,1.150338797,SPR,22,B,M,59.99043327
3,48,0,6,6,7,space,0.300592332,space,0.433440647,space,0.400119524,space,0.50046065,space,0.367133922,space,0.333768194,space,0.28376697,j,1,1.017219696,SPR,22,B,M,59.99043327
3,29,0,7,7,10,space,0.317032831,space,0.333777273,space,0.317112172,space,0.300538254,space,0.350434084,space,0.333963585,space,0.400493728,f,1,0.933791957,SPR,22,B,M,59.99043327
3,24,0,8,8,8,space,0.300370888,space,0.283771707,space,0.40073254,space,0.317167039,space,0.367086159,space,0.333654907,space,0.417156066,j,1,1.800669699,SPR,22,B,M,59.99043327
1,23,0,9,9,2,space,0.317241643,space,0.333827009,space,0.450424295,space,0.383808101,space,0.350698948,space,0.517132066,space,1.15048011,f,1,0.884076518,SPR,22,B,M,59.99043327
1,19,0,10,10,1,space,0.317234143,space,0.400371757,space,0.384075728,space,0.367149711,space,0.367051028,space,0.517215354,space,0.60050928,j,0,1.033831904,SPR,22,B,M,59.99043327
3,30,0,11,11,11,space,0.33390556,space,0.30047786,space,0.300404835,space,0.283998282,space,0.300349573,space,0.317150066,space,0.283736576,j,1,0.800514175,SPR,22,B,M,59.99043327
1,25,0,0,0,2,space,0.450682448,space,0.350490531,space,0.367939171,space,0.483805417,space,0.383724024,space,0.367184052,space,0.383821127,f,1,0.700624226,SPR,22,B,M,59.99043327
