Type,ID,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,key_resp_12.keys,key_resp_12.rt,Atests1.keys,Atests1.rt,Atests2.keys,Atests2.rt,Atests3.keys,Atests3.rt,Atests4.keys,Atests4.rt,Atests5.keys,Atests5.rt,Atests6.keys,Atests6.rt,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,expName,participant,version,Gender,frameRate
3,55,0,0,0,10,space,0.467446627,space,0.817124014,space,0.683839127,space,0.517147856,space,0.533492041,space,0.450502057,space,0.400420308,f,1,1.017070094,SPR,7,A,M,59.96998397
2,32,0,1,1,2,space,0.833889771,space,0.500499728,space,0.733423911,space,0.483737524,space,0.617111619,space,0.667104948,space,0.61717675,j,1,1.73381272,SPR,7,A,M,59.96998397
3,40,0,2,2,7,space,0.650164721,space,0.53384414,space,0.517176671,space,0.550585029,space,0.633759352,space,0.517075225,space,0.517253643,j,1,1.916745152,SPR,7,A,M,59.96998397
1,62,0,3,3,4,space,0.550106617,space,0.600445729,space,0.583751418,space,0.567181447,space,1.000450387,space,0.683801628,space,0.850663817,j,1,2.617134514,SPR,7,A,M,59.96998397
1,63,0,4,4,5,space,0.467130448,space,0.533932165,space,0.567035792,space,0.617160566,space,0.533974796,space,0.667235209,space,0.833457542,f,1,2.783907494,SPR,7,A,M,59.96998397
3,60,0,5,5,11,space,0.550530951,space,0.533876113,space,0.500464202,space,0.51714154,space,0.483797523,space,0.483917126,space,0.567138421,j,1,1.649979592,SPR,7,A,M,59.96998397
1,57,0,6,6,3,space,0.450464558,space,0.533874534,space,0.533767957,space,0.550497399,space,0.634076715,space,0.533857561,space,1.168260718,f,1,5.367455232,SPR,7,A,M,59.96998397
3,16,0,7,7,8,space,0.517312063,space,0.517076015,space,0.48380818,space,0.567069344,space,0.433887481,space,0.583805891,space,0.667107712,j,1,1.600092051,SPR,7,A,M,59.96998397
3,39,0,8,8,6,space,0.550161089,space,0.501367344,space,0.550098722,space,0.517050357,space,0.567075265,space,0.617074515,space,0.567073686,f,1,1.317277169,SPR,7,A,M,59.96998397
3,20,0,9,9,9,space,0.517173118,space,0.617086751,space,0.517122593,space,0.483846864,space,0.500585384,space,0.467211762,space,0.600474544,j,1,1.100488755,SPR,7,A,M,59.96998397
2,30,0,10,10,1,space,0.500516701,space,0.467147816,space,0.467211368,space,0.500466571,space,0.684032939,space,0.533473489,space,0.617118724,j,1,2.550483978,SPR,7,A,M,59.96998397
2,26,0,11,11,0,space,0.550509241,space,0.516661943,space,0.533879666,space,0.500462623,space,0.500500912,space,0.800177076,space,0.700501465,j,1,3.533935323,SPR,7,A,M,59.96998397
2,18,0,0,0,0,space,0.66743889,space,0.550290166,space,0.483756471,space,0.450471268,space,0.550834498,space,0.617159776,space,0.533716248,j,1,4.517454561,SPR,7,A,M,59.96998397
3,24,0,1,1,8,space,0.499803819,space,0.45076771,space,0.400743197,space,0.384031913,space,0.400516228,space,0.417006858,space,0.583759313,j,1,1.333806878,SPR,7,A,M,59.96998397
1,53,0,2,2,5,space,0.433948665,space,0.367301682,space,0.433831035,space,0.43380893,space,0.467137553,space,0.400449124,space,0.61721267,f,1,2.750382691,SPR,7,A,M,59.96998397
3,48,0,3,3,7,space,0.600414545,space,0.433896955,space,0.400369783,space,0.433827483,space,0.450130221,space,0.48387489,space,0.40043294,j,1,1.334168845,SPR,7,A,M,59.96998397
